university_name,field,exposure_alljobs_beta,n_people
Curtin Education Centre Pte Ltd.,Accounting,0.573566557018588,19
Curtin Education Centre Pte Ltd.,Business,0.512092475804904,271
Curtin Education Centre Pte Ltd.,Finance,0.531160351031605,143
Curtin Education Centre Pte Ltd.,Marketing,0.508423593203225,123
Curtin Education Centre Pte Ltd.,Nursing,0.398058734426585,204
"Department of Industrial Systems Engineering and Management, NUS",Engineering,0.623148413445888,14
ERC Institute,Business,0.460330819598291,12
Informatics Education Ltd.,Engineering,0.542114724646789,12
James Cook University Singapore,Business,0.49968258700569,96
James Cook University Singapore,Education,0.294562536818328,10
James Cook University Singapore,Information Technology,0.621503214678694,21
LASALLE College of the Arts,Architecture,0.483667678603439,34
LASALLE College of the Arts,Business,0.480386148775286,235
Lee Kong Chian School of Medicine,Medicine,0.374031558604434,33
Marketing Institute of Singapore,Business,0.460818698634807,17
NIE - Office of Graduate Studies & Professional Learning,Education,0.391008311411403,15
NUS Faculty of Law,Law,0.470377018245437,272
NUS Overseas Colleges,Business,0.507523273944509,15
NUS Overseas Colleges,Engineering,0.523515113790851,10
Nanyang Academy of Fine Arts,Business,0.500508369591314,21
Nanyang Academy of Fine Arts,Marketing,0.46921984395575,12
Nanyang Business School,Accounting,0.526924376236473,207
Nanyang Business School,Business,0.535389071291534,453
Nanyang Business School,Finance,0.534154438836049,72
Nanyang Business School,Marketing,0.502516814282615,32
Nanyang Institute of Management,Business,0.491646469956244,12
Nanyang Polytechnic,Business,0.55532956418939,19
Nanyang Polytechnic,Engineering,0.618927870630553,11
Nanyang Technological University,Accounting,0.529946698558132,2423
Nanyang Technological University,Biology,0.498907778555209,31
Nanyang Technological University,Business,0.526137058469024,5663
Nanyang Technological University,Chemistry,0.487222574994553,1506
Nanyang Technological University,Economics,0.553336442815676,1389
Nanyang Technological University,Education,0.398376972055944,438
Nanyang Technological University,Engineering,0.544607153863611,19368
Nanyang Technological University,Finance,0.525997330460782,696
Nanyang Technological University,Information Technology,0.652784456968847,24
Nanyang Technological University,Law,0.531777498639366,21
Nanyang Technological University,Marketing,0.507808798367201,138
Nanyang Technological University,Mathematics,0.561703511217126,262
Nanyang Technological University,Medicine,0.432726495141384,69
Nanyang Technological University,Physics,0.549761642330227,374
Nanyang Technological University,Statistics,0.58960235640709,309
National University of Singapore,Accounting,0.539955130055115,123
National University of Singapore,Architecture,0.489663794945656,817
National University of Singapore,Biology,0.534008217268451,365
National University of Singapore,Business,0.529510050686939,8582
National University of Singapore,Chemistry,0.490898146904064,1652
National University of Singapore,Economics,0.534330226490616,2879
National University of Singapore,Engineering,0.541862062342225,14712
National University of Singapore,Finance,0.551763531092807,436
National University of Singapore,Information Technology,0.620206695397071,103
National University of Singapore,Law,0.468462798340893,1299
National University of Singapore,Marketing,0.509347031228557,114
National University of Singapore,Mathematics,0.542578220296122,799
