university_name,field,exposure_firstjob_beta,n_people
Academy of Fine Arts and Design in Bratislava,Architecture,0.464984926968067,14
Academy of Performing Arts in Bratislava,Business,0.434556264902617,22
Alexander Dubcek University in Trencin,Business,0.512626279325546,117
Alexander Dubcek University in Trencin,Engineering,0.529145865199364,48
College of Management in Trenčíne,Business,0.525635780278498,180
Comenius University in Bratislava,Biology,0.51028818437055,58
Comenius University in Bratislava,Business,0.544046725526037,692
Comenius University in Bratislava,Chemistry,0.522548804327301,34
Comenius University in Bratislava,Economics,0.590446668520986,69
Comenius University in Bratislava,Education,0.44480914545386,86
Comenius University in Bratislava,Engineering,0.710077065893502,105
Comenius University in Bratislava,Finance,0.653141242930835,25
Comenius University in Bratislava,Information Technology,0.695100131208542,19
Comenius University in Bratislava,Law,0.5139186262796,375
Comenius University in Bratislava,Marketing,0.551849408899449,57
Comenius University in Bratislava,Mathematics,0.626846405209965,164
Comenius University in Bratislava,Physics,0.568932726726251,75
Constantine the Philosopher University in Nitra,Business,0.496130309509983,62
Constantine the Philosopher University in Nitra,Education,0.483339168116506,30
Constantine the Philosopher University in Nitra,Engineering,0.653761566562742,34
Constantine the Philosopher University in Nitra,Information Technology,0.627520937606053,32
Constantine the Philosopher University in Nitra,Marketing,0.522184757385831,74
Faculty of Informatics & Information Technologies,Engineering,0.73129240778463,105
Faculty of Informatics & Information Technologies,Information Technology,0.763845013252165,68
"Faculty of Management Science and Informatics, University of Žilina",Business,0.553339027873968,55
"Faculty of Management Science and Informatics, University of Žilina",Engineering,0.698563432319154,28
"Faculty of Management Science and Informatics, University of Žilina",Information Technology,0.777528985411348,16
"Faculty of Management, Comenius University in Bratislava",Business,0.546328758070112,348
"Faculty of Management, Comenius University in Bratislava",Economics,0.582637095950534,12
"Faculty of Management, Comenius University in Bratislava",Marketing,0.489113190317909,10
"Faculty of Mass Media Communication, University of Ss. Cyril and Methodius in Trnava",Business,0.552883056960379,10
"Faculty of Mass Media Communication, University of Ss. Cyril and Methodius in Trnava",Marketing,0.531775805557138,163
Faculty of Mechanical Engineering Technical University of Košice,Engineering,0.547550969127394,44
"Fakulta manažmentu, ekonomiky a obchodu Prešovskej univerzity v Prešove",Business,0.507607253499731,31
János Selye University in Komárno,Business,0.497471525626799,32
János Selye University in Komárno,Economics,0.48792951278625,18
János Selye University in Komárno,Education,0.456050307384825,10
Matej Bel University in Banská Bystrica,Business,0.526037647206799,170
Matej Bel University in Banská Bystrica,Chemistry,0.416323680579047,13
Matej Bel University in Banská Bystrica,Economics,0.531641527772544,73
Matej Bel University in Banská Bystrica,Education,0.462333391091582,16
Matej Bel University in Banská Bystrica,Engineering,0.675385604377807,22
Matej Bel University in Banská Bystrica,Information Technology,0.695746281894772,16
Matej Bel University in Banská Bystrica,Law,0.483672624360791,49
Pan-European University,Business,0.526183876037352,44
Pan-European University,Economics,0.507073321877174,26
Pan-European University,Engineering,0.749949037605643,11
Pan-European University,Information Technology,0.656161841008029,14
Pan-European University,Law,0.509819833603893,129
Pan-European University,Marketing,0.544442836067939,17
Slovak University of Agriculture in Nitra,Accounting,0.560354928417291,57
Slovak University of Agriculture in Nitra,Architecture,0.400529763682766,14
Slovak University of Agriculture in Nitra,Business,0.525277858490438,273
Slovak University of Agriculture in Nitra,Economics,0.532522952123669,86
Slovak University of Agriculture in Nitra,Engineering,0.491196239266716,55
Slovak University of Technology in Bratislava,Architecture,0.481076180292747,179
Slovak University of Technology in Bratislava,Business,0.517841383719971,109
