university_name,field,exposure_firstjob_beta,n_people
DOBA Business School,Business,0.520540541295668,90
DOBA Business School,Economics,0.516311825127654,29
DOBA Business School,Marketing,0.507086161275942,32
"Faculty of Civil Engineering, Transportation Engineering and Architecture University of Maribor",Architecture,0.490273135469574,19
"Faculty of Civil Engineering, Transportation Engineering and Architecture University of Maribor",Engineering,0.450893264954313,31
Faculty of Commercial and Business Sciences,Business,0.522578064325761,44
Faculty of Commercial and Business Sciences,Economics,0.525282169188628,43
"Faculty of Electrical Engineering and Computer Science, University of Maribor",Engineering,0.658548002708957,141
Faculty of Industrial Engineering Novo Mesto,Engineering,0.534980131737395,28
Faculty of Law University of Ljubljana,Law,0.481366096606041,55
Faculty of Logistics University of Maribor,Business,0.505390456165519,52
Faculty of Maritime Studies & Transport,Engineering,0.451922737778789,19
Faculty of Social Sciences,Business,0.516564032329502,119
Faculty of Social Sciences,Marketing,0.519591115938449,204
GEA College - Faculty of Entrepreneurship,Business,0.539958596557279,26
GEA College - Faculty of Entrepreneurship,Economics,0.53023821379451,73
International School for Social and Business Studies,Business,0.502038772059854,12
International School for Social and Business Studies,Economics,0.461504436299183,21
International School for Social and Business Studies (ISSBS),Economics,0.518285152776774,18
Ljubljana School of Business,Business,0.660535115791178,21
MLC Faculty of Management and Law Ljubljana,Business,0.530710842940311,18
"Nova Univerza, European Faculty of Law",Law,0.504592042152463,85
"UP FAMNIT  - Faculty  of Mathematics, Natural Sciences and Information Technologies",Engineering,0.682933034910748,26
"UP FAMNIT  - Faculty  of Mathematics, Natural Sciences and Information Technologies",Mathematics,0.565058622110632,13
University of Ljubljana,Accounting,0.512508989308406,14
University of Ljubljana,Architecture,0.432517465765286,39
University of Ljubljana,Biology,0.50123919327261,18
University of Ljubljana,Business,0.529998398005167,198
University of Ljubljana,Chemistry,0.524394009216351,152
University of Ljubljana,Economics,0.520656681324036,92
University of Ljubljana,Education,0.39165550750022,106
University of Ljubljana,Engineering,0.566512530443745,903
University of Ljubljana,Finance,0.508123086588815,36
University of Ljubljana,Information Technology,0.658778161397334,11
University of Ljubljana,Law,0.488945316064371,377
University of Ljubljana,Marketing,0.543989724630995,90
University of Ljubljana,Mathematics,0.626509363992072,39
University of Ljubljana,Nursing,0.365514147140699,27
University of Ljubljana,Physics,0.559153975522462,37
University of Ljubljana Faculty of Pharmacy,Engineering,0.522182294743179,14
"University of Ljubljana, Biotechnical Faculty",Architecture,0.427835840663717,31
"University of Ljubljana, Biotechnical Faculty",Biology,0.545806048058986,25
"University of Ljubljana, Biotechnical Faculty",Engineering,0.491592135565438,18
"University of Ljubljana, Faculty Of Mechanical Engineering",Engineering,0.523595474379065,420
"University of Ljubljana, Faculty of Architecture",Architecture,0.461153616996925,20
"University of Ljubljana, Faculty of Arts",Accounting,0.539257319006505,166
"University of Ljubljana, Faculty of Arts",Business,0.53686214702899,893
"University of Ljubljana, Faculty of Arts",Economics,0.519341546456704,220
"University of Ljubljana, Faculty of Arts",Education,0.504278647932806,26
"University of Ljubljana, Faculty of Arts",Finance,0.53969776319526,177
"University of Ljubljana, Faculty of Arts",Marketing,0.513001578400101,292
"University of Ljubljana, Faculty of Civil and Geodetic Engineering",Engineering,0.491108501496227,155
"University of Ljubljana, Faculty of Computer and Information Science",Engineering,0.712619032298372,361
"University of Ljubljana, Faculty of Computer and Information Science",Information Technology,0.673762297580573,13
"University of Ljubljana, Faculty of Electrical Engineering",Engineering,0.564109356600838,464
"University of Ljubljana, Faculty of Mathematics and Physics",Mathematics,0.657913695475423,160
"University of Ljubljana, Faculty of Mathematics and Physics",Physics,0.606597574703675,93
"University of Ljubljana, Faculty of Natural Sciences and Engineering",Engineering,0.46848360553581,54
"University of Ljubljana, School of Economics and Business",Accounting,0.532425052505327,28
"University of Ljubljana, School of Economics and Business",Business,0.545005286531753,108
"University of Ljubljana, School of Economics and Business",Economics,0.526554688546012,40
"University of Ljubljana, School of Economics and Business",Finance,0.556097090545016,15
"University of Ljubljana, School of Economics and Business",Marketing,0.54312157789425,36
University of Maribor,Accounting,0.52162966892881,10
University of Maribor,Architecture,0.491948426439508,28
University of Maribor,Business,0.52443686133773,349
University of Maribor,Chemistry,0.510530059493858,20
University of Maribor,Economics,0.547947534524671,101
University of Maribor,Education,0.43084721655132,30
University of Maribor,Engineering,0.580809523039587,566
University of Maribor,Finance,0.553731419933491,48
University of Maribor,Information Technology,0.690852787183764,56
University of Maribor,Law,0.48490331430546,63
University of Maribor,Marketing,0.498296118085889,43
University of Maribor,Mathematics,0.6381957244874,28
University of Maribor Faculty of Law,Law,0.480882848145637,91
"University of Maribor, Faculty of Mechanical Engineering",Engineering,0.500629299376696,231
University of Nova Gorica,Engineering,0.484682392127988,37
University of Primorska,Business,0.46170360962422,111
University of Primorska,Economics,0.498543829526924,12
University of Primorska,Engineering,0.748197976264987,10
University of Primorska Faculty of Health Sciences,Nursing,0.342556152870682,12
"University of Primorska, Faculty of Tourism Studies - Turistica",Business,0.504952387719714,33
