university_name,field,exposure_alljobs_beta,n_people
DOBA Business School,Business,0.523575537983962,90
DOBA Business School,Economics,0.514442081175021,29
DOBA Business School,Marketing,0.50598268908718,32
"Faculty of Civil Engineering, Transportation Engineering and Architecture University of Maribor",Architecture,0.471380036752626,19
"Faculty of Civil Engineering, Transportation Engineering and Architecture University of Maribor",Engineering,0.454674236586274,31
Faculty of Commercial and Business Sciences,Business,0.525110654602799,44
Faculty of Commercial and Business Sciences,Economics,0.526598349594956,43
"Faculty of Electrical Engineering and Computer Science, University of Maribor",Engineering,0.658794047334009,141
Faculty of Industrial Engineering Novo Mesto,Engineering,0.536156169991751,28
Faculty of Law University of Ljubljana,Law,0.480316336320126,55
Faculty of Logistics University of Maribor,Business,0.514530326721339,52
Faculty of Maritime Studies & Transport,Engineering,0.454875274538894,19
Faculty of Social Sciences,Business,0.516885852604581,119
Faculty of Social Sciences,Marketing,0.521126553390353,204
GEA College - Faculty of Entrepreneurship,Business,0.539080773902232,26
GEA College - Faculty of Entrepreneurship,Economics,0.534173571318879,73
International School for Social and Business Studies,Business,0.486915294570185,12
International School for Social and Business Studies,Economics,0.493252731968317,21
International School for Social and Business Studies (ISSBS),Economics,0.516782055308018,18
Ljubljana School of Business,Business,0.669693671523457,21
MLC Faculty of Management and Law Ljubljana,Business,0.539173765822376,18
"Nova Univerza, European Faculty of Law",Law,0.499504021247001,85
"UP FAMNIT  - Faculty  of Mathematics, Natural Sciences and Information Technologies",Engineering,0.684192293608416,26
"UP FAMNIT  - Faculty  of Mathematics, Natural Sciences and Information Technologies",Mathematics,0.561399048690105,13
University of Ljubljana,Accounting,0.518701767943142,14
University of Ljubljana,Architecture,0.439060746968428,39
University of Ljubljana,Biology,0.500677656988844,18
University of Ljubljana,Business,0.531541594900799,198
University of Ljubljana,Chemistry,0.519943579461742,152
University of Ljubljana,Economics,0.521714832327957,92
University of Ljubljana,Education,0.40199172251754,106
University of Ljubljana,Engineering,0.567924670701509,903
University of Ljubljana,Finance,0.506921853238784,36
University of Ljubljana,Information Technology,0.657054953336895,11
University of Ljubljana,Law,0.485404124378063,377
University of Ljubljana,Marketing,0.544055945354852,90
University of Ljubljana,Mathematics,0.626749039166869,39
University of Ljubljana,Nursing,0.357638247853897,27
University of Ljubljana,Physics,0.564373962195106,37
University of Ljubljana Faculty of Pharmacy,Engineering,0.515210771715756,14
"University of Ljubljana, Biotechnical Faculty",Architecture,0.435748980748107,31
"University of Ljubljana, Biotechnical Faculty",Biology,0.549416300320209,25
"University of Ljubljana, Biotechnical Faculty",Engineering,0.504824964644793,18
"University of Ljubljana, Faculty Of Mechanical Engineering",Engineering,0.528755590473119,420
"University of Ljubljana, Faculty of Architecture",Architecture,0.467492241507836,20
"University of Ljubljana, Faculty of Arts",Accounting,0.54627255039772,166
"University of Ljubljana, Faculty of Arts",Business,0.539200829758968,893
"University of Ljubljana, Faculty of Arts",Economics,0.521431373329425,220
"University of Ljubljana, Faculty of Arts",Education,0.521307886215046,26
"University of Ljubljana, Faculty of Arts",Finance,0.54312879605509,177
"University of Ljubljana, Faculty of Arts",Marketing,0.516667630373338,292
"University of Ljubljana, Faculty of Civil and Geodetic Engineering",Engineering,0.493537437431928,155
"University of Ljubljana, Faculty of Computer and Information Science",Engineering,0.712001091451937,361
"University of Ljubljana, Faculty of Computer and Information Science",Information Technology,0.676476103441653,13
"University of Ljubljana, Faculty of Electrical Engineering",Engineering,0.565908581347064,464
"University of Ljubljana, Faculty of Mathematics and Physics",Mathematics,0.657164239443208,160
"University of Ljubljana, Faculty of Mathematics and Physics",Physics,0.605576884389695,93
"University of Ljubljana, Faculty of Natural Sciences and Engineering",Engineering,0.476655347733384,54
"University of Ljubljana, School of Economics and Business",Accounting,0.537958310169187,28
"University of Ljubljana, School of Economics and Business",Business,0.546551576946309,108
"University of Ljubljana, School of Economics and Business",Economics,0.521115777983833,40
"University of Ljubljana, School of Economics and Business",Finance,0.55198776807086,15
"University of Ljubljana, School of Economics and Business",Marketing,0.539843368804318,36
University of Maribor,Accounting,0.539462784008285,10
University of Maribor,Architecture,0.498124937475765,28
University of Maribor,Business,0.528297796722581,349
University of Maribor,Chemistry,0.516680068323721,20
University of Maribor,Economics,0.538091709527059,101
University of Maribor,Education,0.429541035322533,30
University of Maribor,Engineering,0.583975019321073,566
University of Maribor,Finance,0.554452071001745,48
University of Maribor,Information Technology,0.698480567750428,56
University of Maribor,Law,0.479543121990055,63
University of Maribor,Marketing,0.49776322339112,43
University of Maribor,Mathematics,0.64192205305767,28
University of Maribor Faculty of Law,Law,0.479413821013076,91
"University of Maribor, Faculty of Mechanical Engineering",Engineering,0.50309793015576,231
University of Nova Gorica,Engineering,0.502916087376937,37
University of Primorska,Business,0.472830514533804,111
University of Primorska,Economics,0.517302868033925,12
University of Primorska,Engineering,0.718564811434419,10
University of Primorska Faculty of Health Sciences,Nursing,0.318750757973529,12
"University of Primorska, Faculty of Tourism Studies - Turistica",Business,0.510190334264272,33
