university_name,field,exposure_firstjob_beta,n_people
AAA School of Advertising,Business,0.510109536918204,168
AAA School of Advertising,Marketing,0.5038120150897,463
AFDA,Business,0.470607031228284,85
BMT College,Business,0.510473200845913,13
Belgium Campus,Business,0.753685728988133,33
Belgium Campus,Engineering,0.698884498899038,198
Belgium Campus,Information Technology,0.69739013981287,71
Boston City Campus,Accounting,0.554620712150863,43
Boston City Campus,Business,0.510179106290959,791
Boston City Campus,Engineering,0.468301743987157,13
Boston City Campus,Finance,0.595505282979988,20
Boston City Campus,Law,0.515681816582748,56
Boston City Campus,Marketing,0.529743326344837,55
CTI Education Group,Accounting,0.474094733096882,19
CTI Education Group,Business,0.538299059534318,505
CTI Education Group,Engineering,0.654063453651805,187
CTI Education Group,Information Technology,0.662140484382227,484
CTI Education Group,Law,0.525497437893164,11
CTU Training Solutions,Engineering,0.491916588775722,10
CTU Training Solutions,Information Technology,0.605387756389832,12
Cape Peninsula University of Technology,Accounting,0.540023282314124,153
Cape Peninsula University of Technology,Architecture,0.477355836523676,158
Cape Peninsula University of Technology,Biology,0.417400721174573,17
Cape Peninsula University of Technology,Business,0.515284912663757,4734
Cape Peninsula University of Technology,Chemistry,0.463453235773601,169
Cape Peninsula University of Technology,Education,0.361258569132648,951
Cape Peninsula University of Technology,Engineering,0.461910984228017,2536
Cape Peninsula University of Technology,Finance,0.560983872224608,123
Cape Peninsula University of Technology,Information Technology,0.690071087324234,368
Cape Peninsula University of Technology,Law,0.490848718351641,22
Cape Peninsula University of Technology,Marketing,0.512235850761047,426
Cape Peninsula University of Technology,Medicine,0.382121307152628,21
Cape Peninsula University of Technology,Nursing,0.380328868761683,202
Cape Technikon,Business,0.503434990020198,22
Cape Technikon,Engineering,0.434672638822069,12
"Central University of Technology, Free State",Accounting,0.506319045780721,39
"Central University of Technology, Free State",Business,0.489533827015918,1612
"Central University of Technology, Free State",Education,0.369175020109142,226
"Central University of Technology, Free State",Engineering,0.439337246132412,1048
"Central University of Technology, Free State",Finance,0.511521193181939,20
"Central University of Technology, Free State",Information Technology,0.684850057937292,278
"Central University of Technology, Free State",Marketing,0.517670550088074,108
College of Cape Town,Business,0.477994031772581,29
College of Cape Town,Engineering,0.48140890664162,12
Cranefield College,Business,0.527896184326806,17
DAMELIN (Pty) Ltd.,Accounting,0.556231354774518,559
DAMELIN (Pty) Ltd.,Business,0.528470540883832,2018
DAMELIN (Pty) Ltd.,Engineering,0.531515164752505,55
DAMELIN (Pty) Ltd.,Finance,0.557195791289588,237
DAMELIN (Pty) Ltd.,Information Technology,0.61097182616747,59
DAMELIN (Pty) Ltd.,Marketing,0.514862528372736,65
Da Vinci Institute for Technology Management,Business,0.516253852150841,370
Durban University of Technology,Accounting,0.529683698329243,141
Durban University of Technology,Architecture,0.470781507918833,181
Durban University of Technology,Business,0.498672097786336,3625
Durban University of Technology,Chemistry,0.452679301412501,135
Durban University of Technology,Education,0.372433747854733,55
Durban University of Technology,Engineering,0.449514467351125,2991
Durban University of Technology,Finance,0.567715749920313,110
Durban University of Technology,Information Technology,0.70131086219168,624
Durban University of Technology,Marketing,0.524999828548358,166
Durban University of Technology,Medicine,0.372366137152423,17
Durban University of Technology,Nursing,0.380537162629042,121
Eduvos,Accounting,0.542311216114715,360
Eduvos,Business,0.52836351078906,1090
Eduvos,Engineering,0.647119097943799,287
Eduvos,Finance,0.54480579997032,120
Eduvos,Information Technology,0.660726605068942,491
Eduvos,Law,0.527842622201857,469
Eduvos,Marketing,0.524532537580488,50
Embury College,Education,0.385572232574302,13
Faculty Training Institute,Business,0.671712201962554,28
Fedisa,Business,0.492644830830229,17
Gordon Institute of Business Science,Business,0.505182267015928,41
"Greenside Design Center, College of Design",Architecture,0.486883515599628,26
Helderberg College,Business,0.504824399674059,40
Hoërskool Outeniqua,Business,0.514057525762129,10
IIE MSA,Business,0.503450748234911,21
IIE MSA,Engineering,0.516093437257965,12
IIE MSA,Law,0.483875129852414,15
IIE Rosebank College,Business,0.527010826862662,1712
IIE Rosebank College,Education,0.359308106090913,50
IIE Rosebank College,Engineering,0.569245909490577,45
IIE Rosebank College,Information Technology,0.59043642596459,111
IIE Rosebank College,Marketing,0.513652001588413,69
IMM Graduate School of Marketing,Business,0.504445959967067,2367
IMM Graduate School of Marketing,Marketing,0.500723089931488,230
Inscape,Architecture,0.499113443849141,56
Inscape,Marketing,0.519002813415233,15
Institute of Marketing Management,Business,0.485313378777313,84
Institute of Marketing Management,Marketing,0.465050210314584,20
International Hotel School,Business,0.413900855293826,14
Lisof,Business,0.526589697457651,33
Lisof,Marketing,0.485527738611172,18
MANCOSA Online MBA,Business,0.579049675488547,17
Management College of Southern Africa,Accounting,0.54899398602115,39
Management College of Southern Africa,Business,0.531262759313184,5738
Management College of Southern Africa,Engineering,0.603829718030043,123
Management College of Southern Africa,Finance,0.543434162564117,37
Management College of Southern Africa,Information Technology,0.586831580753756,243
Management College of Southern Africa,Marketing,0.503776829689138,115
Mangosuthu University of Technology,Accounting,0.556166531886111,10
Mangosuthu University of Technology,Business,0.515652909332365,179
Mangosuthu University of Technology,Chemistry,0.419870017462565,50
