university_name,field,exposure_alljobs_beta,n_people
AAA School of Advertising,Business,0.511881475345486,168
AAA School of Advertising,Marketing,0.505026870431809,463
AFDA,Business,0.488378475832219,85
BMT College,Business,0.524972139124576,13
Belgium Campus,Business,0.765960882052757,33
Belgium Campus,Engineering,0.703736410798551,198
Belgium Campus,Information Technology,0.697864514507766,71
Boston City Campus,Accounting,0.559067820919384,43
Boston City Campus,Business,0.510022446395325,791
Boston City Campus,Engineering,0.455026237392569,13
Boston City Campus,Finance,0.588296320533961,20
Boston City Campus,Law,0.515804804462439,56
Boston City Campus,Marketing,0.528134533801966,55
CTI Education Group,Accounting,0.475519168335774,19
CTI Education Group,Business,0.538854743197168,505
CTI Education Group,Engineering,0.653120601779675,187
CTI Education Group,Information Technology,0.662352805320848,484
CTI Education Group,Law,0.528691474207979,11
CTU Training Solutions,Engineering,0.518812365971371,10
CTU Training Solutions,Information Technology,0.605877683864768,12
Cape Peninsula University of Technology,Accounting,0.542290871870196,153
Cape Peninsula University of Technology,Architecture,0.477794199059981,158
Cape Peninsula University of Technology,Biology,0.426942707176685,17
Cape Peninsula University of Technology,Business,0.515426899163755,4734
Cape Peninsula University of Technology,Chemistry,0.46619266229894,169
Cape Peninsula University of Technology,Education,0.359560937342146,951
Cape Peninsula University of Technology,Engineering,0.463830368311443,2536
Cape Peninsula University of Technology,Finance,0.560724141911256,123
Cape Peninsula University of Technology,Information Technology,0.69088402226146,368
Cape Peninsula University of Technology,Law,0.488571053813058,22
Cape Peninsula University of Technology,Marketing,0.512855383479734,426
Cape Peninsula University of Technology,Medicine,0.385741807588029,21
Cape Peninsula University of Technology,Nursing,0.379757223422019,202
Cape Technikon,Business,0.503281660979152,22
Cape Technikon,Engineering,0.434672638822069,12
"Central University of Technology, Free State",Accounting,0.50085519679868,39
"Central University of Technology, Free State",Business,0.490119722975759,1612
"Central University of Technology, Free State",Education,0.367198625616268,226
"Central University of Technology, Free State",Engineering,0.438626099721342,1048
"Central University of Technology, Free State",Finance,0.515709754955612,20
"Central University of Technology, Free State",Information Technology,0.686942874030342,278
"Central University of Technology, Free State",Marketing,0.514504537741495,108
College of Cape Town,Business,0.480309676594087,29
College of Cape Town,Engineering,0.485634443702843,12
