university_name,field,exposure_firstjob_beta,n_people
Ajou University,Architecture,0.494360329859983,14
Ajou University,Business,0.53560699940319,179
Ajou University,Chemistry,0.494209948469053,24
Ajou University,Economics,0.501077886732484,20
Ajou University,Engineering,0.554587057954489,498
Ajou University,Nursing,0.450294262516566,13
Ajou University,Physics,0.669880856027665,15
Andong National University,Engineering,0.545321766699934,13
Anyang University,Engineering,0.63194444231723,25
Baekseok University,Business,0.490251536510031,17
Baekseok University,Engineering,0.524777361249735,14
Busan University of Foreign Studies,Business,0.568836662977815,24
Catholic University of Daegu,Business,0.472825101679444,17
Catholic University of Daegu,Engineering,0.500492462650466,19
Changwon National University,Engineering,0.522807268916685,65
Chongshin University,Education,0.484674319926629,12
Chonnam National University,Business,0.522980029592054,67
Chonnam National University,Economics,0.498043434485317,17
Chonnam National University,Education,0.593205851562707,11
Chonnam National University,Engineering,0.523876790465321,137
Chosun University,Business,0.538312097011412,17
Chosun University,Engineering,0.487698370978595,49
Chung-Ang University,Architecture,0.542363631487665,36
Chung-Ang University,Business,0.531023372902621,423
Chung-Ang University,Chemistry,0.562932083641682,23
Chung-Ang University,Economics,0.526285443452565,92
Chung-Ang University,Education,0.487329144101064,31
Chung-Ang University,Engineering,0.545125667202282,442
Chung-Ang University,Law,0.494424520972789,22
Chung-Ang University,Nursing,0.442520529006541,62
Chung-Ang University,Physics,0.570417754656831,16
Chung-Ang University,Statistics,0.609309963382308,26
Chungbuk National University,Business,0.549069711722062,55
Chungbuk National University,Engineering,0.531647164567308,119
Chungbuk National University,Medicine,0.475467466652232,11
Chungnam National University,Biology,0.544702879795291,20
Chungnam National University,Business,0.503702028838522,67
Chungnam National University,Chemistry,0.492408296182668,16
Chungnam National University,Economics,0.574591870642493,13
Chungnam National University,Engineering,0.547661346565507,259
Chungnam National University,Nursing,0.437713556817594,12
Chungnam National University,Physics,0.503354271141516,15
Chungwoon University,Business,0.436515840219279,10
Daegu Gyeongbuk Institute of Science and Technology,Engineering,0.578950005790377,20
Daegu National University of Education,Education,0.307919769145013,13
Daegu University,Business,0.50161749622877,16
Daegu University,Education,0.471317888102577,10
Daegu University,Engineering,0.520395691700662,30
Daejeon University,Engineering,0.55873800229174,10
Daejin University,Engineering,0.57986103063019,17
Dankook University,Accounting,0.437061619338298,10
Dankook University,Architecture,0.446667834287192,18
Dankook University,Biology,0.505268044462679,15
Dankook University,Business,0.511967342807616,202
Dankook University,Chemistry,0.477190108369683,15
Dankook University,Economics,0.527171937395375,31
Dankook University,Education,0.502167346700818,13
Dankook University,Engineering,0.553073020208445,271
Dankook University,Law,0.557670440091007,19
Dankook University,Nursing,0.434352259232132,14
Dong-A University,Business,0.516674211343236,130
Dong-A University,Engineering,0.526475833570313,143
Dong-Eui University,Business,0.521239153206368,27
Dong-Eui University,Engineering,0.519397479574753,51
DongYang Mirae University,Engineering,0.550537610969195,12
Dongduk Women's University,Business,0.510453075873487,108
Dongduk Women's University,Chemistry,0.517438625060957,11
Dongduk Women's University,Economics,0.468175332318636,13
Dongduk Women's University,Engineering,0.651787547431544,22
Dongguk University,Accounting,0.571225953555006,14
Dongguk University,Business,0.512984662130862,248
Dongguk University,Chemistry,0.50667543207438,17
Dongguk University,Economics,0.542832775608494,52
Dongguk University,Education,0.535519847286136,21
Dongguk University,Engineering,0.56859433847935,387
Dongguk University,Law,0.530669797491487,37
Dongguk University,Statistics,0.580342540228341,22
Dongseo University,Business,0.517559246779298,16
Dongseo University,Engineering,0.603784171926175,27
Duksung Women's University,Accounting,0.526270891765229,10
Duksung Women's University,Business,0.517625861914242,58
Duksung Women's University,Chemistry,0.512723933281125,10
Duksung Women's University,Engineering,0.574995397739438,24
Duksung Women's University,Statistics,0.621225734024033,12
Eulji University,Engineering,0.575842844936502,16
Eulji University,Nursing,0.422289095198784,12
Ewha Womans University,Architecture,0.471234229710986,19
Ewha Womans University,Biology,0.526982905419133,17
Ewha Womans University,Business,0.537444365610896,625
Ewha Womans University,Chemistry,0.527754141293012,25
Ewha Womans University,Economics,0.549591286976542,176
Ewha Womans University,Education,0.497817627236393,107
Ewha Womans University,Engineering,0.585931235678736,230
Ewha Womans University,Law,0.531099874648891,52
Ewha Womans University,Mathematics,0.571429214369777,13
Ewha Womans University,Nursing,0.433733104007521,49
Ewha Womans University,Physics,0.510951596197024,17
Ewha Womans University,Statistics,0.563495688882354,56
Gachon University,Architecture,0.443870072943384,19
Gachon University,Business,0.509420467655139,142
Gachon University,Economics,0.554591353912259,15
Gachon University,Engineering,0.568461480080051,210
Gachon University,Law,0.468860400728433,12
Gachon University,Nursing,0.39795914759164,28
Gangneung–Wonju National University,Engineering,0.606663090229302,20
