university_name,field,exposure_alljobs_beta,n_people
Ajou University,Architecture,0.500592184124542,14
Ajou University,Business,0.534594205510624,179
Ajou University,Chemistry,0.492258333043938,24
Ajou University,Economics,0.496418649919047,20
Ajou University,Engineering,0.554996954518157,498
Ajou University,Nursing,0.451099862650429,13
Ajou University,Physics,0.672302588297953,15
Andong National University,Engineering,0.54584455030224,13
Anyang University,Engineering,0.629124904195499,25
Baekseok University,Business,0.501002083653543,17
Baekseok University,Engineering,0.528285915972962,14
Busan University of Foreign Studies,Business,0.560195566278193,24
Catholic University of Daegu,Business,0.48023610296983,17
Catholic University of Daegu,Engineering,0.501952596333426,19
Changwon National University,Engineering,0.515578654383631,65
Chongshin University,Education,0.48202772054484,12
Chonnam National University,Business,0.5252828367231,67
Chonnam National University,Economics,0.500411194410178,17
Chonnam National University,Education,0.595118149900718,11
Chonnam National University,Engineering,0.520284494801607,137
Chosun University,Business,0.5406524532341,17
Chosun University,Engineering,0.494278327979584,49
Chung-Ang University,Architecture,0.539380092328166,36
Chung-Ang University,Business,0.529872682247873,423
Chung-Ang University,Chemistry,0.56275179644634,23
Chung-Ang University,Economics,0.524631886043331,92
Chung-Ang University,Education,0.4979926433194,31
Chung-Ang University,Engineering,0.544202533280857,442
Chung-Ang University,Law,0.489645488941734,22
Chung-Ang University,Nursing,0.445935566150415,62
Chung-Ang University,Physics,0.580987038872387,16
Chung-Ang University,Statistics,0.6093969420974,26
Chungbuk National University,Business,0.54463853208527,55
Chungbuk National University,Engineering,0.533579467083334,119
Chungbuk National University,Medicine,0.469689308170508,11
Chungnam National University,Biology,0.544294266993135,20
Chungnam National University,Business,0.505703339686675,67
Chungnam National University,Chemistry,0.492811406899307,16
Chungnam National University,Economics,0.577856393141584,13
Chungnam National University,Engineering,0.550501436336823,259
Chungnam National University,Nursing,0.446461422444977,12
Chungnam National University,Physics,0.501375475684074,15
Chungwoon University,Business,0.441313285046481,10
Daegu Gyeongbuk Institute of Science and Technology,Engineering,0.552924733815322,20
Daegu National University of Education,Education,0.31252950593363,13
Daegu University,Business,0.496665304279672,16
Daegu University,Education,0.470275266841328,10
Daegu University,Engineering,0.519412696769197,30
Daejeon University,Engineering,0.5618619463337,10
Daejin University,Engineering,0.579207313743661,17
Dankook University,Accounting,0.437053872447228,10
Dankook University,Architecture,0.455106535843653,18
