university_name,field,exposure_alljobs_beta,n_people
Abat Oliba CEU University,Business,0.525265066491751,102
Abat Oliba CEU University,Economics,0.542353143062883,25
Abat Oliba CEU University,Law,0.455799662546963,30
Abat Oliba CEU University,Marketing,0.514247849133835,19
Autonomous University of Barcelona,Biology,0.483925314891467,204
Autonomous University of Barcelona,Business,0.531773283743196,948
Autonomous University of Barcelona,Chemistry,0.475207828507826,203
Autonomous University of Barcelona,Economics,0.531601607025522,255
Autonomous University of Barcelona,Education,0.399965619704973,73
Autonomous University of Barcelona,Engineering,0.592636492312915,370
Autonomous University of Barcelona,Finance,0.5630010216637,29
Autonomous University of Barcelona,Law,0.498109060017776,218
Autonomous University of Barcelona,Marketing,0.511370144290457,69
Autonomous University of Barcelona,Mathematics,0.571756091486867,127
Autonomous University of Barcelona,Medicine,0.400836780232811,273
Autonomous University of Barcelona,Nursing,0.364009387158325,25
Autonomous University of Barcelona,Physics,0.574871274551516,173
Autonomous University of Barcelona,Statistics,0.627693477356455,41
Autonomous University of Madrid,Biology,0.509682954795657,220
Autonomous University of Madrid,Business,0.518816740336727,870
Autonomous University of Madrid,Chemistry,0.481282170637218,123
Autonomous University of Madrid,Economics,0.541089107826743,307
Autonomous University of Madrid,Education,0.409184292893835,71
Autonomous University of Madrid,Engineering,0.590577197243787,220
Autonomous University of Madrid,Finance,0.550949101567943,52
Autonomous University of Madrid,Law,0.487513551461244,361
Autonomous University of Madrid,Marketing,0.533276562820876,68
Autonomous University of Madrid,Mathematics,0.581764349811818,70
Autonomous University of Madrid,Medicine,0.428140008484929,106
Autonomous University of Madrid,Nursing,0.392947141614379,17
Autonomous University of Madrid,Physics,0.532144700463639,113
Blanquerna - Universitat Ramon Llull,Education,0.383971388014817,15
Blanquerna - Universitat Ramon Llull,Marketing,0.576980181492235,21
CESINE Centro Universitario,Business,0.482901105372741,54
CESINE Centro Universitario,Engineering,0.605532351081505,21
CESINE Centro Universitario,Marketing,0.472901535277511,20
CESMA Business School,Business,0.512283841421049,28
CESMA Business School,Marketing,0.50845245554291,25
"CETT_UB Tourism & Hospitality, Education/Research",Business,0.489228543575844,142
CEU San Pablo University,Architecture,0.496182958259259,126
CEU San Pablo University,Business,0.519358086998348,430
CEU San Pablo University,Economics,0.531965330838973,43
CEU San Pablo University,Education,0.320019040785015,16
CEU San Pablo University,Engineering,0.589289285946466,52
CEU San Pablo University,Finance,0.553358992546191,14
CEU San Pablo University,Law,0.49103064129415,147
CEU San Pablo University,Marketing,0.524968110548785,108
CEU San Pablo University,Medicine,0.408836031589207,34
CFIS-UPC,Engineering,0.577358951492378,26
CIS University,Business,0.515141386879411,51
CIS University,Marketing,0.576374563394344,10
CUNEF University,Business,0.519530385724063,688
CUNEF University,Law,0.526396631180281,24
Camarabilbao University Business School,Business,0.527917793553742,26
Camilo José Cela University,Architecture,0.491502842249023,22
Camilo José Cela University,Business,0.513315374692575,43
Camilo José Cela University,Education,0.344905801862608,65
Camilo José Cela University,Law,0.495048835982366,10
Camilo José Cela University,Marketing,0.566762384493893,10
Canary Islands Business School by MBA,Business,0.493793855746057,20
Cardinal Herrera-CEU University,Architecture,0.48999090885341,40
Cardinal Herrera-CEU University,Business,0.513488944030225,46
Cardinal Herrera-CEU University,Engineering,0.489158466907423,13
Cardinal Herrera-CEU University,Law,0.470477454916398,37
Cardinal Herrera-CEU University,Marketing,0.542584092752386,18
Cardinal Herrera-CEU University,Medicine,0.376941308103883,56
Carlos III University of Madrid,Business,0.530974253621615,1781
Carlos III University of Madrid,Economics,0.544396434167373,517
Carlos III University of Madrid,Engineering,0.565000318111932,1331
Carlos III University of Madrid,Finance,0.528419692755272,98
Carlos III University of Madrid,Law,0.515363277173337,392
Carlos III University of Madrid,Marketing,0.47564994692751,16
Castelldefels School of Telecommunications and Aerospace Engineering (EETAC-UPC),Engineering,0.548903686576134,10
Catholic University of Ávila,Business,0.495875057553412,19
Catholic University of Ávila,Engineering,0.563765486515176,18
Centro Superior de Hostelería de Galicia (EN: CSHG- Hotel Business School),Business,0.440959868503256,23
Comillas Pontifical University,Business,0.514274303575466,1266
Comillas Pontifical University,Education,0.362747314228074,10
Comillas Pontifical University,Engineering,0.54056599896415,551
Comillas Pontifical University,Finance,0.496939179779903,12
Comillas Pontifical University,Law,0.486559841963474,183
Comillas Pontifical University,Marketing,0.518600628088166,40
Complutense University of Madrid,Biology,0.504700898215184,259
Complutense University of Madrid,Business,0.531195788805363,1065
Complutense University of Madrid,Chemistry,0.494899283134715,153
Complutense University of Madrid,Economics,0.540284983061443,285
Complutense University of Madrid,Education,0.418038688210237,122
Complutense University of Madrid,Engineering,0.593413388115285,245
Complutense University of Madrid,Finance,0.541179663530039,21
Complutense University of Madrid,Law,0.492016576416582,756
Complutense University of Madrid,Marketing,0.524818382560769,112
Complutense University of Madrid,Mathematics,0.597593481724721,115
Complutense University of Madrid,Medicine,0.413681899295212,177
Complutense University of Madrid,Nursing,0.43554514335713,17
Complutense University of Madrid,Physics,0.567392367715322,203
Complutense University of Madrid,Statistics,0.670496867943374,35
EADE - Estudios Universitarios,Business,0.528146495155799,49
EPSEVG - UPC - Universitat Politècnica de Catalunya,Engineering,0.55358441959166,29
ESADE Business School,Business,0.519493205612217,1765
ESADE Business School,Finance,0.474471414054888,11
ESADE Business School,Law,0.498951329209576,151
ESADE Business School,Marketing,0.511228404428972,39
ESCI-UPF,Business,0.51375295585931,245
ESCI-UPF,Marketing,0.51798548571149,12
ESEI International Business School,Business,0.532121886956946,61
ESEIAAT-UPC,Engineering,0.550528776913848,227
ESIC University,Business,0.515562096792581,535
ESIC University,Marketing,0.510924644414471,555
ETSAM (Escuela Técnica Superior de Arquitectura de Madrid),Architecture,0.501240341711995,148
EUNCET,Business,0.530711954020498,86
EUNCET,Marketing,0.522706348905672,14
EUROAULA Escuela Universitaria,Business,0.423062097175607,15
"EUSS, Fundació Privada Rinaldi",Engineering,0.561474812627902,12
EWA Duale Europäische Wirtschaftsakademie,Business,0.508569091951199,13
Edem Business School,Business,0.527470384221236,61
Escola Universitaria Politecnica de Mataro (Tecnocampus),Engineering,0.588028581151143,11
Escola Universitària Formatic Barcelona,Marketing,0.50400744800543,11
Escola Universitària Mediterrani,Business,0.480515110073338,16
