university_name,field,exposure_firstjob_beta,n_people
Berghs School of Communication,Marketing,0.537724276318019,22
Blekinge Institute of Technology,Business,0.522601607080227,101
Blekinge Institute of Technology,Economics,0.533617055448535,18
Blekinge Institute of Technology,Engineering,0.62217139022397,308
Blekinge Institute of Technology,Nursing,0.401036631948161,27
Chalmers University of Technology,Architecture,0.451491290792209,217
Chalmers University of Technology,Business,0.489639911918556,113
Chalmers University of Technology,Economics,0.495955309732717,49
Chalmers University of Technology,Engineering,0.525875612667664,4302
Chalmers University of Technology,Information Technology,0.62380072115797,60
Chalmers University of Technology,Physics,0.612407011846901,21
Dalarna University,Business,0.505441024869684,247
Dalarna University,Economics,0.513640390799644,28
Dalarna University,Education,0.365998385175524,26
Dalarna University,Engineering,0.506746744362515,145
Dalarna University,Nursing,0.358300909544663,13
"Faculty of Engineering, Lund University",Architecture,0.488968578673993,96
"Faculty of Engineering, Lund University",Engineering,0.526050126925063,493
Frans Schartau Business Institute,Business,0.462972477492353,21
Företagsekonomiska Institutet 1888 AB,Business,0.511710483311037,14
Gotland University,Business,0.536250258854155,30
Gotland University,Engineering,0.579496759577569,22
Halmstad University,Business,0.50705172000782,478
Halmstad University,Economics,0.532957072477832,103
Halmstad University,Education,0.489765945850966,13
Halmstad University,Engineering,0.536380180100636,621
Halmstad University,Information Technology,0.647833308847744,16
Halmstad University,Marketing,0.519740017656252,78
Halmstad University,Nursing,0.353315266050107,28
Handelshögskolan i Göteborg,Business,0.528903110263905,12
IHM Business School AB,Business,0.503101273164353,155
IHM Business School AB,Economics,0.506069731864585,28
IHM Business School AB,Marketing,0.500675676345184,59
Jönköping University,Business,0.513537265171131,1240
Jönköping University,Economics,0.511023412194513,152
Jönköping University,Education,0.370774364811028,22
Jönköping University,Engineering,0.535638187189051,771
Jönköping University,Law,0.525858509635191,66
Jönköping University,Marketing,0.54204974025996,47
Jönköping University,Nursing,0.37425781506049,35
KTH Royal Institute of Technology,Architecture,0.47844527184088,218
KTH Royal Institute of Technology,Business,0.598374597665639,72
KTH Royal Institute of Technology,Chemistry,0.458760772529004,10
KTH Royal Institute of Technology,Economics,0.587505754501784,21
KTH Royal Institute of Technology,Engineering,0.554155229806211,3339
KTH Royal Institute of Technology,Finance,0.492179017411021,185
KTH Royal Institute of Technology,Information Technology,0.648667770568501,61
Kalmar University,Business,0.524863442226681,75
Kalmar University,Economics,0.509480024698964,19
Kalmar University,Engineering,0.546184491449826,104
Kalmar University,Marketing,0.507327889944474,23
Karlstad University,Business,0.524532604631483,291
Karlstad University,Economics,0.539463258719152,62
Karlstad University,Education,0.430218697493759,29
Karlstad University,Engineering,0.55466828781248,354
Karlstad University,Information Technology,0.699744662672356,18
Karlstad University,Law,0.530933240208636,18
Karlstad University,Nursing,0.372425188831053,21
Karolinska Institute,Medicine,0.418819764388545,55
Karolinska Institute,Nursing,0.375674087291275,167
Kristianstad University,Business,0.52207375616569,398
Kristianstad University,Economics,0.486567375360448,23
Kristianstad University,Education,0.370539848991652,17
Kristianstad University,Engineering,0.605123462934455,152
Kristianstad University,Finance,0.517557460540575,12
Kristianstad University,Nursing,0.344964854936593,31
Linköping University,Biology,0.491259961964761,104
Linköping University,Business,0.52064335074477,741
Linköping University,Chemistry,0.478282432807187,24
Linköping University,Economics,0.537991742962654,186
Linköping University,Education,0.408201233498529,61
Linköping University,Engineering,0.547527616162839,927
Linköping University,Finance,0.518309777670103,18
