university_name,field,exposure_alljobs_beta,n_people
Berghs School of Communication,Marketing,0.525101925379147,22
Blekinge Institute of Technology,Business,0.529632282335768,101
Blekinge Institute of Technology,Economics,0.532170199907465,18
Blekinge Institute of Technology,Engineering,0.621878868744272,308
Blekinge Institute of Technology,Nursing,0.398700437433785,27
Chalmers University of Technology,Architecture,0.456174765804654,217
Chalmers University of Technology,Business,0.489450061006647,113
Chalmers University of Technology,Economics,0.500559630485687,49
Chalmers University of Technology,Engineering,0.533036266489443,4302
Chalmers University of Technology,Information Technology,0.626134313135639,60
Chalmers University of Technology,Physics,0.609482335924679,21
Dalarna University,Business,0.50721560223082,247
Dalarna University,Economics,0.523604163909501,28
Dalarna University,Education,0.364116347049096,26
Dalarna University,Engineering,0.51247779961042,145
Dalarna University,Nursing,0.364644222036339,13
"Faculty of Engineering, Lund University",Architecture,0.485010682606658,96
"Faculty of Engineering, Lund University",Engineering,0.527613168384597,493
Frans Schartau Business Institute,Business,0.458210840828674,21
Företagsekonomiska Institutet 1888 AB,Business,0.509537442678916,14
Gotland University,Business,0.524715062418349,30
Gotland University,Engineering,0.566004181454135,22
Halmstad University,Business,0.507456174086416,478
Halmstad University,Economics,0.531512530621976,103
Halmstad University,Education,0.494039274617191,13
Halmstad University,Engineering,0.53485350913785,621
Halmstad University,Information Technology,0.642518628645566,16
Halmstad University,Marketing,0.513750369930761,78
Halmstad University,Nursing,0.36267886948162,28
Handelshögskolan i Göteborg,Business,0.524594817595604,12
IHM Business School AB,Business,0.502811494606706,155
IHM Business School AB,Economics,0.502242743064571,28
IHM Business School AB,Marketing,0.498675027495541,59
Jönköping University,Business,0.517493109445671,1240
Jönköping University,Economics,0.515442005860887,152
Jönköping University,Education,0.364313205130302,22
Jönköping University,Engineering,0.539522800194712,771
Jönköping University,Law,0.52655214885465,66
Jönköping University,Marketing,0.544767942533078,47
Jönköping University,Nursing,0.375954937741104,35
KTH Royal Institute of Technology,Architecture,0.478582013095143,218
KTH Royal Institute of Technology,Business,0.597083725757494,72
KTH Royal Institute of Technology,Chemistry,0.45959593260189,10
KTH Royal Institute of Technology,Economics,0.587986373182093,21
KTH Royal Institute of Technology,Engineering,0.558814688422073,3339
KTH Royal Institute of Technology,Finance,0.49487097949839,185
KTH Royal Institute of Technology,Information Technology,0.645000699327729,61
Kalmar University,Business,0.531080079691441,75
Kalmar University,Economics,0.513781261016692,19
Kalmar University,Engineering,0.549848518584586,104
Kalmar University,Marketing,0.509867300459603,23
Karlstad University,Business,0.523667427086624,291
Karlstad University,Economics,0.542169094948504,62
Karlstad University,Education,0.419575029393432,29
Karlstad University,Engineering,0.558702123562074,354
Karlstad University,Information Technology,0.698668984044654,18
Karlstad University,Law,0.528176405095229,18
Karlstad University,Nursing,0.371179078773257,21
