university_name,field,exposure_firstjob_beta,n_people
ABB Technikerschule,Engineering,0.530588364324691,18
AGSB University,Business,0.552310076164455,13
AKAD AG,Business,0.525219745290096,54
ATHENAEUM,Architecture,0.473328767193632,82
Atelier Hermès école professionelle Genf,Architecture,0.465870901748915,17
BVS St. Gallen,Business,0.506423613974489,12
Bern University of Applied Sciences,Accounting,0.548434883172154,37
Bern University of Applied Sciences,Architecture,0.484102183225846,194
Bern University of Applied Sciences,Business,0.530599903605045,1253
Bern University of Applied Sciences,Economics,0.540300960691478,67
Bern University of Applied Sciences,Engineering,0.521475213093358,728
Bern University of Applied Sciences,Finance,0.52091264560428,40
Bern University of Applied Sciences,Information Technology,0.661950830873189,29
Bern University of Applied Sciences,Marketing,0.475974369194296,43
Bern University of Applied Sciences,Nursing,0.419004017735376,116
"Biozentrum, University of Basel",Biology,0.503749449463949,15
Business & Hotel Management School,Business,0.430171623917857,112
Business School Lausanne,Business,0.519980870758604,107
César Ritz Colleges Switzerland,Business,0.447394083290958,144
EHL,Business,0.487700087943293,2481
EHL,Finance,0.493435952002791,29
EHL,Marketing,0.524352506568883,46
EU Business School,Business,0.503785889705045,139
Eastern Switzerland University of Applied Sciences,Architecture,0.39814894142659,104
Eastern Switzerland University of Applied Sciences,Business,0.527175407517063,866
Eastern Switzerland University of Applied Sciences,Economics,0.534624244826448,15
Eastern Switzerland University of Applied Sciences,Engineering,0.539915799585392,665
Eastern Switzerland University of Applied Sciences,Finance,0.535941490498196,21
Eastern Switzerland University of Applied Sciences,Information Technology,0.625972002781,16
Eastern Switzerland University of Applied Sciences,Marketing,0.523314226705882,10
Eastern Switzerland University of Applied Sciences,Nursing,0.3886475962486,60
"Faculty of Economics and Business, University of Neuchâtel",Business,0.519902477059813,20
Fernfachhochschule Schweiz,Business,0.509865332876706,241
Fernfachhochschule Schweiz,Economics,0.456188222349785,24
Fernfachhochschule Schweiz,Engineering,0.543114019670566,182
Fernfachhochschule Schweiz,Finance,0.540615045607964,19
Fernfachhochschule Schweiz,Information Technology,0.635813749814619,17
Fernfachhochschule Schweiz,Marketing,0.487568070435072,19
Franklin University Switzerland,Business,0.508013443806817,43
Franklin University Switzerland,Finance,0.567129628504095,11
Geneva Business School,Business,0.51848595668912,68
Geneva Business School,Finance,0.529447280066139,27
Glion Institute of Higher Education,Business,0.486613710248609,506
Glion Institute of Higher Education,Marketing,0.481242087063667,19
HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,Business,0.524945393880887,1830
HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,Economics,0.522799031405132,510
HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,Finance,0.523633046444059,27
HEG,Business,0.519733671458968,613
HEG,Economics,0.481140059241811,64
HEG,Engineering,0.638268350400863,23
HEG,Finance,0.518485740834369,74
HEG,Marketing,0.515874823182641,19
HEIG-VD,Business,0.523616051928,470
HEIG-VD,Economics,0.497139027425669,139
HEIG-VD,Engineering,0.570206286406543,612
HEIG-VD,Finance,0.553075377095381,40
HEIG-VD,Information Technology,0.705009450500506,16
HEIG-VD,Marketing,0.574687596262667,20
HEP Valais / PH Wallis,Education,0.383267973703378,24
