university_name,field,exposure_alljobs_beta,n_people
ABB Technikerschule,Engineering,0.520876863275391,18
AGSB University,Business,0.545103650885042,13
AKAD AG,Business,0.52972485851598,54
ATHENAEUM,Architecture,0.477135659035209,82
Atelier Hermès école professionelle Genf,Architecture,0.469383819833094,17
BVS St. Gallen,Business,0.509421073604115,12
Bern University of Applied Sciences,Accounting,0.543687534022853,37
Bern University of Applied Sciences,Architecture,0.482429529471578,194
Bern University of Applied Sciences,Business,0.529594591481997,1253
Bern University of Applied Sciences,Economics,0.525149447103969,67
Bern University of Applied Sciences,Engineering,0.524979755006099,728
Bern University of Applied Sciences,Finance,0.527983346998907,40
Bern University of Applied Sciences,Information Technology,0.667194508288213,29
Bern University of Applied Sciences,Marketing,0.484215984742474,43
Bern University of Applied Sciences,Nursing,0.419427007818771,116
"Biozentrum, University of Basel",Biology,0.484902427462265,15
Business & Hotel Management School,Business,0.427256853253615,112
Business School Lausanne,Business,0.52124579132648,107
César Ritz Colleges Switzerland,Business,0.448502944461353,144
EHL,Business,0.491234614631414,2481
EHL,Finance,0.496875881562859,29
EHL,Marketing,0.524353841084195,46
EU Business School,Business,0.504844538295451,139
Eastern Switzerland University of Applied Sciences,Architecture,0.399597288542219,104
Eastern Switzerland University of Applied Sciences,Business,0.52579699253613,866
Eastern Switzerland University of Applied Sciences,Economics,0.534375819539816,15
Eastern Switzerland University of Applied Sciences,Engineering,0.543659505194141,665
Eastern Switzerland University of Applied Sciences,Finance,0.531325394219769,21
Eastern Switzerland University of Applied Sciences,Information Technology,0.644122906865953,16
Eastern Switzerland University of Applied Sciences,Marketing,0.513445623035299,10
Eastern Switzerland University of Applied Sciences,Nursing,0.394797440315424,60
"Faculty of Economics and Business, University of Neuchâtel",Business,0.529356413841679,20
Fernfachhochschule Schweiz,Business,0.518190097873947,241
Fernfachhochschule Schweiz,Economics,0.46431172256462,24
Fernfachhochschule Schweiz,Engineering,0.548535309666078,182
Fernfachhochschule Schweiz,Finance,0.539474486790849,19
Fernfachhochschule Schweiz,Information Technology,0.627758037112756,17
Fernfachhochschule Schweiz,Marketing,0.475215035157892,19
Franklin University Switzerland,Business,0.505818319402295,43
Franklin University Switzerland,Finance,0.564914511987664,11
Geneva Business School,Business,0.516894438467589,68
Geneva Business School,Finance,0.530902528749406,27
Glion Institute of Higher Education,Business,0.485094097839818,506
Glion Institute of Higher Education,Marketing,0.485631269432103,19
HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,Business,0.527293233141043,1830
HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,Economics,0.527671833902634,510
HEC Lausanne - The Faculty of Business and Economics of the University of Lausanne,Finance,0.521208424813756,27
HEG,Business,0.524837298820453,613
HEG,Economics,0.494483276653327,64
HEG,Engineering,0.639158143273521,23
HEG,Finance,0.530311286131115,74
HEG,Marketing,0.516292573179787,19
HEIG-VD,Business,0.528415317521873,470
HEIG-VD,Economics,0.502852128426108,139
HEIG-VD,Engineering,0.569926079484631,612
HEIG-VD,Finance,0.55256476462727,40
HEIG-VD,Information Technology,0.694091893411425,16
HEIG-VD,Marketing,0.557752572117044,20
HEP Valais / PH Wallis,Education,0.377126946240477,24
HETSL - Haute école de travail social et de la santé Lausanne,Education,0.327445668019918,16
HFT Luzern AG - Höhere Fachschule Tourismus Luzern,Business,0.495207529115829,45
HFWbern.ch,Business,0.50479890666752,11
HKV Aarau,Business,0.514323059837926,13
HSO Business School Switzerland,Business,0.510985264419739,345
HSO Business School Switzerland,Economics,0.498253840056681,13
HWZ Hochschule für Wirtschaft Zürich,Accounting,0.520144982156639,11
HWZ Hochschule für Wirtschaft Zürich,Business,0.530792398821436,1718
HWZ Hochschule für Wirtschaft Zürich,Economics,0.527827540737192,36
HWZ Hochschule für Wirtschaft Zürich,Engineering,0.581362668295942,13
HWZ Hochschule für Wirtschaft Zürich,Finance,0.518508735440554,78
HWZ Hochschule für Wirtschaft Zürich,Marketing,0.503922852695229,18
Haute Ecole Arc - Ingénierie,Engineering,0.523290965676941,192
Haute école de gestion Arc,Business,0.539945530334778,375
Haute école de gestion Arc,Economics,0.535535424361531,64
Haute école de gestion Arc,Engineering,0.624760928621107,14
Haute école de gestion Arc,Finance,0.50760307415046,29
Haute école de gestion Arc,Marketing,0.494112840922061,37
Haute école de santé de Genève,Education,0.363776962567983,40
Haute école de santé de Genève,Nursing,0.400358687438118,18
Haute école de travail social - HETS-Genève,Education,0.355293479802979,44
"Haute école du paysage, d'ingénierie et d'architecture de Genève - HEPIA",Architecture,0.441786683920494,255
"Haute école du paysage, d'ingénierie et d'architecture de Genève - HEPIA",Engineering,0.484091659204658,136
"Haute école du paysage, d'ingénierie et d'architecture de Genève - HEPIA",Information Technology,0.672633803948624,12
Haute école spécialisée de Suisse occidentale University,Architecture,0.470244472389222,151
Haute école spécialisée de Suisse occidentale University,Business,0.548270532796534,316
Haute école spécialisée de Suisse occidentale University,Chemistry,0.440725474855321,25
Haute école spécialisée de Suisse occidentale University,Economics,0.504890957413296,41
Haute école spécialisée de Suisse occidentale University,Education,0.367940307625983,207
Haute école spécialisée de Suisse occidentale University,Engineering,0.521225273249592,239
Haute école spécialisée de Suisse occidentale University,Finance,0.546063786809076,12
Haute école spécialisée de Suisse occidentale University,Marketing,0.466882003363044,10
Haute école spécialisée de Suisse occidentale University,Nursing,0.365767333211017,127
Hotel Institute Montreux,Business,0.448935660247695,77
Hotel Management School Geneva | EHG,Business,0.460538845229823,14
IFM Business School,Business,0.508411110542409,55
IFM Business School,Marketing,0.515376448978576,10
IHTTI School of Hotel Management,Business,0.473347781507981,47
