university_name,field,exposure_firstjob_beta,n_people
Abdullah Gül University,Architecture,0.500985116583644,18
Abdullah Gül University,Biology,0.565610472130447,15
Abdullah Gül University,Business,0.53981825154581,32
Abdullah Gül University,Engineering,0.540278580332011,121
Adana Alparslan Türkeş Science and Technology University,Business,0.484453458167366,15
Adana Alparslan Türkeş Science and Technology University,Engineering,0.543121226770674,80
Afyon Kocatepe University,Architecture,0.501389874413818,10
Afyon Kocatepe University,Biology,0.496537652040214,15
Afyon Kocatepe University,Business,0.541767678355761,122
Afyon Kocatepe University,Chemistry,0.34410284241561,10
Afyon Kocatepe University,Economics,0.536117262533387,12
Afyon Kocatepe University,Education,0.408068332633413,12
Afyon Kocatepe University,Engineering,0.513738125800902,286
Afyon Kocatepe University,Finance,0.521702913849691,31
Akdeniz University,Architecture,0.451313705482049,29
Akdeniz University,Business,0.497494649180394,202
Akdeniz University,Chemistry,0.476016800268678,10
Akdeniz University,Economics,0.531457104557827,35
Akdeniz University,Education,0.445197886975269,24
Akdeniz University,Engineering,0.515752082358866,268
Akdeniz University,Finance,0.456923402909693,12
Akdeniz University,Law,0.526035225848063,27
Aksaray University,Business,0.57154358908803,16
Aksaray University,Engineering,0.503139093322615,126
Alanya Alaaddin Keykubat University,Business,0.547963620606753,17
Alanya Alaaddin Keykubat University,Engineering,0.529945390736296,25
Altinbas University,Architecture,0.493905370041621,85
Altinbas University,Business,0.525413222191146,84
Altinbas University,Economics,0.561343293969178,25
Altinbas University,Engineering,0.555731859897683,176
Altinbas University,Law,0.482214317619834,53
Amasya University,Engineering,0.504771907119204,32
Anadolu University,Accounting,0.533222961991025,25
Anadolu University,Architecture,0.494997554914455,110
Anadolu University,Biology,0.503402859790179,17
Anadolu University,Business,0.523898067408105,7819
Anadolu University,Chemistry,0.476289646329875,39
Anadolu University,Economics,0.521721214686776,1091
Anadolu University,Education,0.451358587504992,209
Anadolu University,Engineering,0.541212670527335,953
Anadolu University,Finance,0.528679794718579,124
Anadolu University,Law,0.490266549514612,103
Anadolu University,Marketing,0.513606536238426,13
Anadolu University,Mathematics,0.462355472145941,20
Anadolu University,Physics,0.528484570986694,22
Anadolu University,Statistics,0.583100245577193,55
Ankara University,Architecture,0.460828512875802,31
Ankara University,Biology,0.495851927247679,49
Ankara University,Business,0.52234801214251,154
Ankara University,Chemistry,0.500400404799837,86
Ankara University,Economics,0.520783314594578,142
Ankara University,Education,0.391960381907366,50
Ankara University,Engineering,0.543188462318956,928
Ankara University,Finance,0.544234165417107,50
Ankara University,Law,0.48776100880872,475
Ankara University,Mathematics,0.531245219700298,64
Ankara University,Medicine,0.435568193977349,77
Ankara University,Physics,0.567077551978471,25
Ankara University,Statistics,0.607699626003141,65
Ankara University Faculty Of Engineering,Engineering,0.542328412660284,10
Ankara Yildirim Beyazit University,Business,0.587882545386245,114
Ankara Yildirim Beyazit University,Economics,0.577307660540701,20
Ankara Yildirim Beyazit University,Engineering,0.554968329651174,289
Ankara Yildirim Beyazit University,Finance,0.559858287190624,36
Ankara Yildirim Beyazit University,Law,0.502444418444315,50
Ankara Yildirim Beyazit University,Medicine,0.525935361452886,12
Antalya Science University,Architecture,0.477866542455221,24
Antalya Science University,Business,0.532325121287401,49
Antalya Science University,Economics,0.546563685468536,15
Antalya Science University,Engineering,0.571252978927707,128
Antalya Science University,Law,0.481824651295736,14
Atatürk University,Architecture,0.524014729795345,16
Atatürk University,Biology,0.514407088287023,15
Atatürk University,Business,0.496458260667484,90
Atatürk University,Economics,0.527356363241494,10
Atatürk University,Education,0.457884589599502,45
Atatürk University,Engineering,0.517459702388885,455
Atatürk University,Law,0.465192932892424,26
Atilim University,Architecture,0.483253143701478,27
Atilim University,Business,0.524364063083956,105
Atilim University,Economics,0.545663855723068,25
Atilim University,Engineering,0.560845900899896,622
Atilim University,Law,0.471288091424903,75
Atilim University,Mathematics,0.591382529840243,16
Aydın Adnan Menderes University,Business,0.50529617567667,166
Aydın Adnan Menderes University,Chemistry,0.533693000015868,15
Aydın Adnan Menderes University,Economics,0.54115335627175,30
Aydın Adnan Menderes University,Education,0.413442117462329,29
Aydın Adnan Menderes University,Engineering,0.51644108067949,199
Aydın Adnan Menderes University,Finance,0.530392622030432,20
Aydın Adnan Menderes University,Medicine,0.367843465155498,18
