university_name,field,exposure_alljobs_beta,n_people
Abdullah Gül University,Architecture,0.507330885483235,18
Abdullah Gül University,Biology,0.566361100033658,15
Abdullah Gül University,Business,0.531390420415556,32
Abdullah Gül University,Engineering,0.542477783467935,121
Adana Alparslan Türkeş Science and Technology University,Business,0.514462814056275,15
Adana Alparslan Türkeş Science and Technology University,Engineering,0.56196637363057,80
Afyon Kocatepe University,Architecture,0.501251102528854,10
Afyon Kocatepe University,Biology,0.502586274159466,15
Afyon Kocatepe University,Business,0.536474044451744,122
Afyon Kocatepe University,Chemistry,0.34410284241561,10
Afyon Kocatepe University,Economics,0.523059195040858,12
Afyon Kocatepe University,Education,0.406153993881112,12
Afyon Kocatepe University,Engineering,0.515603955275648,286
Afyon Kocatepe University,Finance,0.53660927577698,31
Akdeniz University,Architecture,0.456856648523764,29
Akdeniz University,Business,0.49776062702239,202
Akdeniz University,Chemistry,0.477835404822895,10
Akdeniz University,Economics,0.535260498831536,35
Akdeniz University,Education,0.416901465920831,24
Akdeniz University,Engineering,0.519750348292012,268
Akdeniz University,Finance,0.455865050578198,12
Akdeniz University,Law,0.511673090079994,27
Aksaray University,Business,0.58298155020587,16
Aksaray University,Engineering,0.510453526684552,126
Alanya Alaaddin Keykubat University,Business,0.529811154559501,17
Alanya Alaaddin Keykubat University,Engineering,0.590593516269057,25
Altinbas University,Architecture,0.492062081803952,85
Altinbas University,Business,0.507818382927361,84
Altinbas University,Economics,0.568272464852675,25
Altinbas University,Engineering,0.566313665927379,176
Altinbas University,Law,0.48058785484346,53
Amasya University,Engineering,0.50751139574579,32
Anadolu University,Accounting,0.52514380615034,25
Anadolu University,Architecture,0.491900559840405,110
Anadolu University,Biology,0.4898140404024,17
Anadolu University,Business,0.524673118517713,7819
Anadolu University,Chemistry,0.474517779750052,39
Anadolu University,Economics,0.521286998961604,1091
Anadolu University,Education,0.451915010537476,209
Anadolu University,Engineering,0.542427307964774,953
Anadolu University,Finance,0.525742756217717,124
Anadolu University,Law,0.490840292703531,103
Anadolu University,Marketing,0.518659477030543,13
Anadolu University,Mathematics,0.459485669170153,20
Anadolu University,Physics,0.516799868777534,22
Anadolu University,Statistics,0.576028665812778,55
Ankara University,Architecture,0.462044053773235,31
Ankara University,Biology,0.487258494282262,49
Ankara University,Business,0.52457943126862,154
Ankara University,Chemistry,0.50054709272901,86
Ankara University,Economics,0.521571644739153,142
Ankara University,Education,0.385951448657265,50
Ankara University,Engineering,0.545330871640477,928
Ankara University,Finance,0.539851302591404,50
Ankara University,Law,0.485582331098576,475
Ankara University,Mathematics,0.526803491339804,64
Ankara University,Medicine,0.426280751521924,77
Ankara University,Physics,0.554267655339938,25
Ankara University,Statistics,0.607779632062144,65
Ankara University Faculty Of Engineering,Engineering,0.526350922226658,10
Ankara Yildirim Beyazit University,Business,0.593252056310909,114
Ankara Yildirim Beyazit University,Economics,0.5851474213628,20
Ankara Yildirim Beyazit University,Engineering,0.557484500512685,289
Ankara Yildirim Beyazit University,Finance,0.553983445022878,36
Ankara Yildirim Beyazit University,Law,0.49945788541614,50
Ankara Yildirim Beyazit University,Medicine,0.528072545594261,12
Antalya Science University,Architecture,0.479778513182347,24
Antalya Science University,Business,0.531377929560905,49
Antalya Science University,Economics,0.539496308482385,15
Antalya Science University,Engineering,0.579142278540427,128
Antalya Science University,Law,0.482829740731412,14
Atatürk University,Architecture,0.524486724389751,16
Atatürk University,Biology,0.518228803067148,15
Atatürk University,Business,0.501859099860966,90
Atatürk University,Economics,0.527356363241494,10
Atatürk University,Education,0.467979683314669,45
Atatürk University,Engineering,0.520487578282117,455
Atatürk University,Law,0.462191032284687,26
Atilim University,Architecture,0.476524410332159,27
Atilim University,Business,0.523261414594616,105
Atilim University,Economics,0.543944393713923,25
Atilim University,Engineering,0.562005989253382,622
Atilim University,Law,0.469512054362252,75
Atilim University,Mathematics,0.584259966760521,16
Aydın Adnan Menderes University,Business,0.505601633654553,166
Aydın Adnan Menderes University,Chemistry,0.524346914579764,15
Aydın Adnan Menderes University,Economics,0.53968623706738,30
Aydın Adnan Menderes University,Education,0.422837331495181,29
Aydın Adnan Menderes University,Engineering,0.527521172208079,199
Aydın Adnan Menderes University,Finance,0.530089652303575,20
Aydın Adnan Menderes University,Medicine,0.368242547923251,18
BAHÇELIEVLER DENEME ANADOLU LISESI,Business,0.615136235941692,16
