university_name,field,exposure_firstjob_beta,n_people
Abu Dhabi Polytechnic,Engineering,0.487567034565709,266
Abu Dhabi University,Accounting,0.54441124985198,88
Abu Dhabi University,Architecture,0.479621668962866,213
Abu Dhabi University,Business,0.535357223339762,1314
Abu Dhabi University,Education,0.476544974673535,15
Abu Dhabi University,Engineering,0.49969030109948,1280
Abu Dhabi University,Finance,0.538066325914359,119
Abu Dhabi University,Information Technology,0.60079881352202,63
Abu Dhabi University,Law,0.518235704435401,55
Abu Dhabi University,Marketing,0.517239050561106,59
Ajman University,Accounting,0.552945081149851,168
Ajman University,Architecture,0.483391525865554,192
Ajman University,Business,0.534263979881547,775
Ajman University,Education,0.435129131783035,45
Ajman University,Engineering,0.522336914934963,1470
Ajman University,Finance,0.525287380525267,60
Ajman University,Information Technology,0.583327373637471,70
Ajman University,Law,0.480146028347529,128
Ajman University,Marketing,0.527560028266815,62
Al Ain University,Accounting,0.545647410338067,88
Al Ain University,Business,0.532085103287855,503
Al Ain University,Education,0.411679925324073,31
Al Ain University,Engineering,0.566686103687232,153
Al Ain University,Finance,0.542465621419596,51
Al Ain University,Law,0.504171395807915,140
Al Dar University College,Business,0.510304666029902,132
Al Dar University College,Engineering,0.492304372865178,66
Al Dar University College,Information Technology,0.517300635536883,46
Al Ghurair University,Accounting,0.527182454637402,13
Al Ghurair University,Architecture,0.482393583170835,28
Al Ghurair University,Business,0.506654585387716,334
Al Ghurair University,Engineering,0.523999018244704,340
Al Ghurair University,Finance,0.545566556952673,21
Al Ghurair University,Law,0.487431334063945,31
Al Ghurair University,Marketing,0.532034394751554,26
Al Qasimia University,Business,0.511470478906717,14
Al Qasimia University,Economics,0.517031912012647,22
American University in Dubai,Accounting,0.516614064166804,28
American University in Dubai,Architecture,0.483118500465083,233
American University in Dubai,Business,0.514528722459701,1535
American University in Dubai,Economics,0.511756771886631,15
American University in Dubai,Engineering,0.5168360425493,333
American University in Dubai,Finance,0.488043513123269,91
American University in Dubai,Information Technology,0.535752685354131,59
American University in Dubai,Marketing,0.500078978490126,160
American University in the Emirates,Accounting,0.523134440229673,30
American University in the Emirates,Business,0.516194594426083,461
American University in the Emirates,Engineering,0.550772513982311,31
