university_name,field,exposure_firstjob_beta,n_people
ACCA,Accounting,0.522631037846896,61
ACCA,Business,0.544577714428176,30
ACCA,Finance,0.525968353829244,82
ARU London,Business,0.542191452957064,18
Aberystwyth University,Accounting,0.539628719451026,14
Aberystwyth University,Biology,0.449850940648319,487
Aberystwyth University,Business,0.498488583021854,827
Aberystwyth University,Economics,0.51016533695169,247
Aberystwyth University,Education,0.426768797154495,100
Aberystwyth University,Engineering,0.6276095102972,585
Aberystwyth University,Finance,0.505101858052023,242
Aberystwyth University,Law,0.483152752779999,698
Aberystwyth University,Marketing,0.501055403940978,94
Aberystwyth University,Mathematics,0.518373481415007,230
Aberystwyth University,Physics,0.508985682865957,132
Abingdon & Witney College,Business,0.453406690464044,16
Abingdon & Witney College,Engineering,0.391055107457351,24
Abingdon & Witney College,Information Technology,0.565085755680237,19
Access Creative College,Engineering,0.275589442628052,10
Activate Learning,Engineering,0.424685388808295,14
Alliance Manchester Business School,Accounting,0.526275483396405,35
Alliance Manchester Business School,Business,0.522220184901617,664
Alliance Manchester Business School,Economics,0.509330802992957,50
Alliance Manchester Business School,Engineering,0.65514166729128,13
Alliance Manchester Business School,Finance,0.504291417714066,47
Anglia Ruskin University,Accounting,0.537882582067868,200
Anglia Ruskin University,Architecture,0.473632375105575,156
Anglia Ruskin University,Biology,0.443665150961095,275
Anglia Ruskin University,Business,0.488470130725054,4059
Anglia Ruskin University,Chemistry,0.485177535755988,18
Anglia Ruskin University,Economics,0.486237173348489,80
Anglia Ruskin University,Education,0.386976469992851,607
Anglia Ruskin University,Engineering,0.556905810508142,1304
Anglia Ruskin University,Finance,0.532857893996077,651
Anglia Ruskin University,Information Technology,0.587721872455288,23
Anglia Ruskin University,Law,0.492611987754184,888
Anglia Ruskin University,Marketing,0.499558882192272,327
Anglia Ruskin University,Mathematics,0.606903562659297,10
Anglia Ruskin University,Medicine,0.379282296398231,18
Anglia Ruskin University,Nursing,0.374493926916461,502
Architectural Association School of Architecture,Architecture,0.481933965710492,120
Arden University,Business,0.496139557454446,289
Arden University,Engineering,0.550349427558334,33
Arden University,Finance,0.532960317320051,23
Arden University,Law,0.42695912568784,58
Arts University Bournemouth,Architecture,0.470527032390343,332
Arts University Bournemouth,Business,0.48687608236964,203
Arts University Bournemouth,Marketing,0.495044550649279,22
Ashridge Business School,Business,0.500554968036714,22
Aston Business School,Accounting,0.560051075034506,16
Aston Business School,Business,0.520179337536276,669
Aston Business School,Economics,0.517975645436643,35
Aston Business School,Finance,0.511118635411731,56
Aston Business School,Law,0.486790550254771,39
Aston Business School,Marketing,0.49225117270741,62
Aston University,Accounting,0.511766685533797,92
Aston University,Biology,0.503733651583383,202
Aston University,Business,0.526816670165969,4782
Aston University,Chemistry,0.458203108266291,135
Aston University,Economics,0.538367218125181,309
Aston University,Engineering,0.547004299849644,1985
Aston University,Finance,0.532548663052387,133
Aston University,Information Technology,0.623148113137977,23
Aston University,Law,0.481488984283071,330
Aston University,Marketing,0.516580956334968,472
Aston University,Mathematics,0.557791992305412,322
Avado,Business,0.525168903402288,13
"BCS, The Chartered Institute for IT",Business,0.580039836089497,17
"BCS, The Chartered Institute for IT",Engineering,0.676997526222092,11
BIMM University,Business,0.462938676194543,581
BIMM University,Engineering,0.424336403000244,18
BPP,Business,0.507828689294726,13
BPP University,Accounting,0.518936256394948,123
BPP University,Business,0.514146574387706,286
BPP University,Finance,0.509960113874961,180
BPP University,Information Technology,0.586834502601377,14
BPP University,Law,0.49785827949407,229
BPP University,Nursing,0.429574728785991,14
Bangor University,Accounting,0.512312650389412,35
Bangor University,Biology,0.439428298241782,683
Bangor University,Business,0.497204097912774,472
Bangor University,Chemistry,0.470973205283808,180
Bangor University,Economics,0.53682936292277,45
Bangor University,Education,0.373872613649617,215
Bangor University,Engineering,0.611729514653237,334
Bangor University,Finance,0.518042163850793,227
Bangor University,Information Technology,0.650551594760824,10
Bangor University,Law,0.475401160914561,343
Bangor University,Marketing,0.521641259049598,46
Bangor University,Mathematics,0.536719703410462,12
Bangor University,Nursing,0.386990924997343,118
Barking & Dagenham College,Business,0.497541873376088,17
Barking & Dagenham College,Engineering,0.521534052015171,19
Barking & Dagenham College,Information Technology,0.408670149303133,15
Barnfield College,Engineering,0.505855730754762,10
Barnsley College,Business,0.513913761201077,12
Barts and The London School of Medicine and Dentistry,Medicine,0.439964903708156,251
Basingstoke College of Technology,Business,0.417502252956167,14
Basingstoke College of Technology,Engineering,0.37462994341877,28
Bath Spa University,Accounting,0.469550507728109,21
Bath Spa University,Biology,0.426730026427413,90
Bath Spa University,Business,0.487429102962029,1129
Bath Spa University,Education,0.390024612220212,596
Bath Spa University,Engineering,0.552240186336183,22
Bath Spa University,Marketing,0.491724754128708,10
Bayes Business School,Accounting,0.489101509405597,10
Bayes Business School,Business,0.525078384730763,501
Bayes Business School,Finance,0.530843379817725,291
Belfast Metropolitan College,Business,0.478572168498547,51
Belfast Metropolitan College,Engineering,0.387402882902895,31
Belfast Metropolitan College,Marketing,0.524600850940202,22
Belfast School of Architecture,Architecture,0.457475702847608,78
Birkbeck - University of London,Accounting,0.544901410389369,127
Birkbeck - University of London,Biology,0.492023991027877,45
Birkbeck - University of London,Business,0.526991063096827,1006
Birkbeck - University of London,Chemistry,0.419455342693864,10
Birkbeck - University of London,Economics,0.52279127306082,234
Birkbeck - University of London,Engineering,0.594843048535154,137
Birkbeck - University of London,Finance,0.508018531248827,125
Birkbeck - University of London,Information Technology,0.550105419157528,20
Birkbeck - University of London,Law,0.502393970827377,379
Birkbeck - University of London,Marketing,0.515853093522779,48
Birkbeck - University of London,Mathematics,0.547249731683164,36
Birkbeck - University of London,Statistics,0.552830441695421,45
"Birkbeck School of Business, Economics and Informatics",Business,0.459569266890647,21
Birmingham City University,Accounting,0.526801536365352,159
Birmingham City University,Architecture,0.447633871010489,624
Birmingham City University,Business,0.500945016331736,3667
Birmingham City University,Economics,0.51782187535432,98
Birmingham City University,Education,0.380395792431486,549
Birmingham City University,Engineering,0.539272512701454,2360
Birmingham City University,Finance,0.525363034977965,1092
Birmingham City University,Information Technology,0.594961675273706,178
Birmingham City University,Law,0.482923451056021,1139
Birmingham City University,Marketing,0.49581140798074,414
Birmingham City University,Nursing,0.387864145996484,543
Bishop Burton College,Business,0.424737673102425,98
Bishop Grosseteste University,Business,0.485686061927017,26
Bishop Grosseteste University,Education,0.385355625663706,696
Bishop Grosseteste University,Mathematics,0.443913681436142,12
Blackpool & The Flyde College,Biology,0.406844657411896,11
Blackpool & The Flyde College,Business,0.462511062902383,125
Blackpool & The Flyde College,Engineering,0.505510129289317,137
Blackpool & The Flyde College,Information Technology,0.612459708380576,22
Bolton College,Engineering,0.493950091550421,18
Bolton College,Information Technology,0.471191265540115,14
Bolton Sixth Form College,Information Technology,0.441209539469489,13
Bournemouth University,Accounting,0.541273745213207,162
Bournemouth University,Architecture,0.501343434309594,19
Bournemouth University,Biology,0.441413610317243,57
Bournemouth University,Business,0.511365320433303,6207
Bournemouth University,Economics,0.508725528418932,177
Bournemouth University,Education,0.413853676135611,20
Bournemouth University,Engineering,0.547063830720558,1670
Bournemouth University,Finance,0.521556640408446,782
Bournemouth University,Information Technology,0.600814813402261,52
Bournemouth University,Law,0.496403398139714,723
Bournemouth University,Marketing,0.504982470723807,1751
Bournemouth University,Nursing,0.370393986066786,252
Bournemouth University International College,Business,0.504686125387766,14
Bracknell & Wokingham College,Business,0.501173605135421,10
Bracknell & Wokingham College,Information Technology,0.626334200006336,11
Bradford University School of Management,Business,0.474630590041106,16
Bridgend College,Engineering,0.371206398108743,13
Bridgend College,Information Technology,0.518831645151276,10
Bridgwater & Taunton College,Business,0.39051120725795,20
Bridgwater & Taunton College,Engineering,0.463062570321945,55
Brighton & Sussex Medical School,Medicine,0.453486017834852,191
Brighton MET,Business,0.452737987486635,21
Brighton MET,Engineering,0.416001573259063,20
British College of Osteopathic Medicine,Medicine,0.321990215295843,25
Brunel University London,Accounting,0.513481434049531,361
Brunel University London,Biology,0.515588394610451,57
Brunel University London,Business,0.519227400805352,3358
Brunel University London,Economics,0.529858153913324,525
Brunel University London,Education,0.411177416821499,131
Brunel University London,Engineering,0.558836587119251,2705
Brunel University London,Finance,0.53043680269328,608
Brunel University London,Information Technology,0.582730093901699,53
Brunel University London,Law,0.491543152896035,991
Brunel University London,Marketing,0.499533747679193,64
Brunel University London,Mathematics,0.572809954854082,545
Brunel University London,Nursing,0.381025095152263,35
Brunel University London,Statistics,0.616351874551009,14
Buckinghamshire New University,Accounting,0.467910152962068,13
Buckinghamshire New University,Business,0.470954041717389,2867
Buckinghamshire New University,Education,0.378825092399301,51
Buckinghamshire New University,Engineering,0.538652848115492,293
Buckinghamshire New University,Finance,0.502042446841764,110
Buckinghamshire New University,Information Technology,0.459407734956283,13
Buckinghamshire New University,Law,0.488146187482978,139
Buckinghamshire New University,Marketing,0.511906861795223,138
Buckinghamshire New University,Nursing,0.380126124713074,315
Burnley College,Engineering,0.327892522372681,20
Bury College,Business,0.405232744202399,10
Bury College,Engineering,0.465990622968347,24
