university_name,field,exposure_alljobs_beta,n_people
ACCA,Accounting,0.521449061522201,61
ACCA,Business,0.549540513282359,30
ACCA,Finance,0.520746005902401,82
ARU London,Business,0.53396208119197,18
Aberystwyth University,Accounting,0.543005008906095,14
Aberystwyth University,Biology,0.445832719745795,487
Aberystwyth University,Business,0.499778286711911,827
Aberystwyth University,Economics,0.514002978459632,247
Aberystwyth University,Education,0.426697444927553,100
Aberystwyth University,Engineering,0.63130348107392,585
Aberystwyth University,Finance,0.503819198579074,242
Aberystwyth University,Law,0.483772784994317,698
Aberystwyth University,Marketing,0.504080678457797,94
Aberystwyth University,Mathematics,0.518906652460754,230
Aberystwyth University,Physics,0.515929756888365,132
Abingdon & Witney College,Business,0.453605775041445,16
Abingdon & Witney College,Engineering,0.414115609789426,24
Abingdon & Witney College,Information Technology,0.568525687004101,19
Access Creative College,Engineering,0.281852524436375,10
Activate Learning,Engineering,0.419102187262711,14
Alliance Manchester Business School,Accounting,0.526666776047893,35
Alliance Manchester Business School,Business,0.520128931555877,664
Alliance Manchester Business School,Economics,0.513604366627789,50
Alliance Manchester Business School,Engineering,0.654550423957363,13
Alliance Manchester Business School,Finance,0.502957523511198,47
Anglia Ruskin University,Accounting,0.539408039371517,200
Anglia Ruskin University,Architecture,0.475567653958813,156
Anglia Ruskin University,Biology,0.446342513167574,275
Anglia Ruskin University,Business,0.491125657127889,4059
Anglia Ruskin University,Chemistry,0.479958256845746,18
Anglia Ruskin University,Economics,0.484789197286495,80
Anglia Ruskin University,Education,0.390049228990851,607
Anglia Ruskin University,Engineering,0.559867428198685,1304
Anglia Ruskin University,Finance,0.533895383068024,651
Anglia Ruskin University,Information Technology,0.59541575611507,23
Anglia Ruskin University,Law,0.495832563060913,888
Anglia Ruskin University,Marketing,0.498920545134766,327
Anglia Ruskin University,Mathematics,0.595146461891569,10
Anglia Ruskin University,Medicine,0.386774010790644,18
Anglia Ruskin University,Nursing,0.376128485462985,502
Architectural Association School of Architecture,Architecture,0.487618356541629,120
Arden University,Business,0.495074009828405,289
Arden University,Engineering,0.572202023960711,33
Arden University,Finance,0.510560662276362,23
Arden University,Law,0.444248390344602,58
Arts University Bournemouth,Architecture,0.472729375164258,332
Arts University Bournemouth,Business,0.491660621015743,203
Arts University Bournemouth,Marketing,0.495277553293964,22
Ashridge Business School,Business,0.497190190498682,22
Aston Business School,Accounting,0.535818861323806,16
Aston Business School,Business,0.523388980001012,669
Aston Business School,Economics,0.515571814981078,35
Aston Business School,Finance,0.507324660841413,56
Aston Business School,Law,0.502056414543244,39
Aston Business School,Marketing,0.506349774038539,62
Aston University,Accounting,0.515879763824443,92
Aston University,Biology,0.505719551244844,202
Aston University,Business,0.529163915830628,4782
Aston University,Chemistry,0.465754725547007,135
Aston University,Economics,0.545195423431129,309
Aston University,Engineering,0.551050423099066,1985
Aston University,Finance,0.539328027878355,133
Aston University,Information Technology,0.623686364225214,23
Aston University,Law,0.494953641230645,330
Aston University,Marketing,0.520532398211778,472
Aston University,Mathematics,0.564739747496139,322
Avado,Business,0.528080316223933,13
"BCS, The Chartered Institute for IT",Business,0.586974451934535,17
"BCS, The Chartered Institute for IT",Engineering,0.674953538175065,11
BIMM University,Business,0.466190469276185,581
BIMM University,Engineering,0.432990881136545,18
BPP,Business,0.517222312461383,13
BPP University,Accounting,0.517527175645669,123
BPP University,Business,0.511010358253293,286
BPP University,Finance,0.512139251415893,180
BPP University,Information Technology,0.610877302069241,14
BPP University,Law,0.500759255930033,229
BPP University,Nursing,0.424361335125757,14
Bangor University,Accounting,0.520276534769815,35
Bangor University,Biology,0.438601717883667,683
Bangor University,Business,0.501734660156405,472
Bangor University,Chemistry,0.478387819573273,180
Bangor University,Economics,0.535168032097866,45
Bangor University,Education,0.377863988879674,215
Bangor University,Engineering,0.612013281412369,334
Bangor University,Finance,0.522448429896612,227
Bangor University,Information Technology,0.649592000190841,10
Bangor University,Law,0.486431783181585,343
Bangor University,Marketing,0.525539554546651,46
Bangor University,Mathematics,0.539270466460173,12
Bangor University,Nursing,0.38759578957584,118
Barking & Dagenham College,Business,0.503673285761131,17
Barking & Dagenham College,Engineering,0.516569789227664,19
Barking & Dagenham College,Information Technology,0.404606556942528,15
Barnfield College,Engineering,0.509158822043577,10
Barnsley College,Business,0.499616043674371,12
Barts and The London School of Medicine and Dentistry,Medicine,0.439911314671306,251
Basingstoke College of Technology,Business,0.452058412677983,14
Basingstoke College of Technology,Engineering,0.387359999170879,28
Bath Spa University,Accounting,0.473332093293912,21
Bath Spa University,Biology,0.434759740329849,90
Bath Spa University,Business,0.493729725126791,1129
Bath Spa University,Education,0.390353919231972,596
Bath Spa University,Engineering,0.53597242543702,22
Bath Spa University,Marketing,0.512778414035464,10
Bayes Business School,Accounting,0.507096397851631,10
Bayes Business School,Business,0.525143454575797,501
Bayes Business School,Finance,0.530978525020123,291
Belfast Metropolitan College,Business,0.473100771094764,51
Belfast Metropolitan College,Engineering,0.398919834181261,31
Belfast Metropolitan College,Marketing,0.516068570990819,22
Belfast School of Architecture,Architecture,0.470637758958427,78
