ucas_provider,cah1,exposure_alljobs_beta,n_people
A20 University of Aberdeen,(CAH01) medicine and dentistry,0.432015195520598,159
A20 University of Aberdeen,(CAH03) biological and sport sciences,0.449162816663568,433
A20 University of Aberdeen,(CAH07) physical sciences,0.474992299948029,264
A20 University of Aberdeen,(CAH09) mathematical sciences,0.546975625984179,98
A20 University of Aberdeen,(CAH10) engineering and technology,0.485901165280625,577
A20 University of Aberdeen,(CAH15) social sciences,0.508268470169667,53
A20 University of Aberdeen,(CAH16) law,0.472905736941961,1144
A20 University of Aberdeen,(CAH17) business and management,0.481261154901392,228
A20 University of Aberdeen,(CAH22) education and teaching,0.37524961171279,160
A30 Abertay University,(CAH02) subjects allied to medicine,0.400925774158698,34
A30 Abertay University,(CAH03) biological and sport sciences,0.421926588438079,23
A30 Abertay University,(CAH10) engineering and technology,0.550589379065931,968
A30 Abertay University,(CAH11) computing,0.602600162691923,11
A30 Abertay University,(CAH15) social sciences,0.48810216517733,15
A30 Abertay University,(CAH16) law,0.484560052767544,146
A30 Abertay University,(CAH17) business and management,0.514543783515933,1294
A40 Aberystwyth University,(CAH03) biological and sport sciences,0.445832719745795,487
A40 Aberystwyth University,(CAH07) physical sciences,0.515929756888365,132
A40 Aberystwyth University,(CAH09) mathematical sciences,0.522011318659612,239
A40 Aberystwyth University,(CAH10) engineering and technology,0.63130348107392,585
A40 Aberystwyth University,(CAH15) social sciences,0.514002978459632,247
A40 Aberystwyth University,(CAH16) law,0.483772784994317,698
A40 Aberystwyth University,(CAH17) business and management,0.501466901500939,1177
A40 Aberystwyth University,(CAH22) education and teaching,0.426697444927553,100
A60 Anglia Ruskin University,(CAH01) medicine and dentistry,0.400559370717267,20
A60 Anglia Ruskin University,(CAH02) subjects allied to medicine,0.376128485462985,502
A60 Anglia Ruskin University,(CAH03) biological and sport sciences,0.443107678854233,281
A60 Anglia Ruskin University,(CAH07) physical sciences,0.499287111385328,20
A60 Anglia Ruskin University,(CAH09) mathematical sciences,0.599055234919993,11
A60 Anglia Ruskin University,(CAH10) engineering and technology,0.559811594110795,1305
A60 Anglia Ruskin University,(CAH11) computing,0.59541575611507,23
A60 Anglia Ruskin University,"(CAH13) architecture, building and planning",0.444149167301532,215
A60 Anglia Ruskin University,(CAH15) social sciences,0.484789197286495,80
A60 Anglia Ruskin University,(CAH16) law,0.495832563060913,888
A60 Anglia Ruskin University,(CAH17) business and management,0.494132299414431,5512
A60 Anglia Ruskin University,(CAH22) education and teaching,0.390049228990851,607
A66 Arts University Bournemouth,"(CAH13) architecture, building and planning",0.472729375164258,332
A66 Arts University Bournemouth,(CAH17) business and management,0.49201427661628,225
"A80 Aston University, Birmingham",(CAH03) biological and sport sciences,0.505719551244844,202
"A80 Aston University, Birmingham",(CAH07) physical sciences,0.471237469651671,139
"A80 Aston University, Birmingham",(CAH09) mathematical sciences,0.564739747496139,322
"A80 Aston University, Birmingham",(CAH10) engineering and technology,0.551136787294056,1988
"A80 Aston University, Birmingham",(CAH11) computing,0.620976911334886,24
"A80 Aston University, Birmingham",(CAH15) social sciences,0.542181393501618,344
"A80 Aston University, Birmingham",(CAH16) law,0.49570434084905,369
"A80 Aston University, Birmingham",(CAH17) business and management,0.527518131142473,6282
B06 Bangor University,(CAH02) subjects allied to medicine,0.38759578957584,118
B06 Bangor University,(CAH03) biological and sport sciences,0.438601717883667,683
