university_name,field,exposure_firstjob_beta,n_people
A. James Clark School of Engineering,Engineering,0.514613865298304,862
A.B. Freeman School of Business,Accounting,0.553485584714855,25
A.B. Freeman School of Business,Business,0.491774070388291,1355
A.B. Freeman School of Business,Economics,0.511426334243241,10
A.B. Freeman School of Business,Finance,0.51795384777397,323
A.B. Freeman School of Business,Marketing,0.497006507354288,179
AIU Online LLC,Accounting,0.522455861127997,385
AIU Online LLC,Architecture,0.492381689476253,27
AIU Online LLC,Business,0.484588437801204,12878
AIU Online LLC,Engineering,0.558987175926031,1021
AIU Online LLC,Finance,0.534883083066273,348
AIU Online LLC,Information Technology,0.560891011406821,2725
AIU Online LLC,Law,0.361429470389605,61
AIU Online LLC,Marketing,0.46170119820691,706
ARGOSY UNIVERSITY SEATTLE,Business,0.437199628831206,15
ASA College,Business,0.410615712071561,70
ASA College,Engineering,0.575630741019197,10
ASU College of Nursing & Health Innovation,Nursing,0.354991804666545,367
ASU Watts College of Public Service & Community Solutions,Business,0.413262443056357,77
Abilene Christian University,Accounting,0.542079758220969,124
Abilene Christian University,Biology,0.419989965843952,68
Abilene Christian University,Business,0.481023328871661,1751
Abilene Christian University,Chemistry,0.510425218349081,32
Abilene Christian University,Education,0.366150056637234,254
Abilene Christian University,Engineering,0.551781851311483,224
Abilene Christian University,Finance,0.524222792726284,132
Abilene Christian University,Information Technology,0.566448929816872,58
Abilene Christian University,Marketing,0.498601710061499,214
Abilene Christian University,Mathematics,0.564553587587148,43
Abilene Christian University,Nursing,0.298473354388654,219
Abilene Christian University,Physics,0.546640300422863,46
Abraham Baldwin Agricultural College,Biology,0.3502037186327,12
Abraham Baldwin Agricultural College,Business,0.442139790870821,309
Abraham Baldwin Agricultural College,Education,0.401365719832988,16
Abraham Baldwin Agricultural College,Nursing,0.33600054838094,17
Academy College,Accounting,0.565225515601087,12
Academy College,Business,0.447905603620842,43
Academy College,Engineering,0.490288745180295,14
Academy of Art University,Architecture,0.470359316899769,728
Academy of Art University,Business,0.482591361427262,58
Academy of Art University,Education,0.430268485351055,37
Academy of Art University,Engineering,0.52072409258614,242
Academy of Art University,Marketing,0.462763846798298,119
Adams State University,Accounting,0.531139533397169,56
Adams State University,Biology,0.436464638530176,62
Adams State University,Business,0.438223749238472,717
Adams State University,Chemistry,0.421387503505169,28
Adams State University,Education,0.34772557967729,141
Adams State University,Engineering,0.591567248846825,32
Adams State University,Finance,0.516724271814804,29
Adams State University,Marketing,0.446356403711899,34
Adams State University,Mathematics,0.479652663592689,19
Adams State University,Nursing,0.326394923827895,48
Adelphi University,Accounting,0.537301055400496,136
Adelphi University,Biology,0.430773110439513,114
Adelphi University,Business,0.476426295742175,1530
Adelphi University,Chemistry,0.499793029012506,47
Adelphi University,Economics,0.542987617514959,70
Adelphi University,Education,0.367216219777721,247
Adelphi University,Engineering,0.582277433052702,244
Adelphi University,Finance,0.508819684286966,132
Adelphi University,Marketing,0.478218577105841,163
Adelphi University,Mathematics,0.462973202646837,155
Adelphi University,Nursing,0.346459035313434,1986
Adelphi University,Physics,0.507729027869709,134
Adirondack Community College,Business,0.33493068860729,31
Adrian College,Accounting,0.547889444793582,50
Adrian College,Biology,0.366552114865891,58
Adrian College,Business,0.445991257332962,874
Adrian College,Chemistry,0.36444089386766,45
Adrian College,Economics,0.494420516625871,15
Adrian College,Education,0.357261055407379,100
Adrian College,Law,0.372370566717856,13
Adrian College,Marketing,0.47414313026729,49
Adrian College,Mathematics,0.475596412263908,41
Adrian College,Physics,0.568314884604681,17
AdventHealth University,Business,0.424138474396675,12
AdventHealth University,Medicine,0.397492933513484,14
AdventHealth University,Nursing,0.370601211803166,539
Agnes Scott College,Biology,0.442403547346095,117
Agnes Scott College,Business,0.486612522351127,173
Agnes Scott College,Chemistry,0.463294235908544,39
Agnes Scott College,Economics,0.511007335855802,106
Agnes Scott College,Education,0.452704042943698,23
Agnes Scott College,Mathematics,0.500892918133515,54
Agnes Scott College,Physics,0.549821343945442,18
Aiken Technical College,Business,0.469001540896152,16
Aims Community College,Business,0.447169652784108,21
Al-Imam Muhammad Ibn Saud Islamic University,Business,0.54851381179273,34
Al-Imam Muhammad Ibn Saud Islamic University,Engineering,0.574756294200789,23
Al-Imam Muhammad Ibn Saud Islamic University,Law,0.513685325929542,19
Alabama Agricultural and Mechanical University,Accounting,0.52307921750583,156
Alabama Agricultural and Mechanical University,Biology,0.416867371197037,76
Alabama Agricultural and Mechanical University,Business,0.464001871184677,825
Alabama Agricultural and Mechanical University,Chemistry,0.493748888909621,88
Alabama Agricultural and Mechanical University,Economics,0.468789826422007,18
Alabama Agricultural and Mechanical University,Education,0.360105261607392,166
Alabama Agricultural and Mechanical University,Engineering,0.5025853607203,915
Alabama Agricultural and Mechanical University,Finance,0.535177654296277,48
Alabama Agricultural and Mechanical University,Marketing,0.470939976474776,167
Alabama Agricultural and Mechanical University,Mathematics,0.49674239351817,34
Alabama Agricultural and Mechanical University,Physics,0.498925681096127,29
Alabama State University,Accounting,0.526631747930164,194
Alabama State University,Biology,0.435267290151151,131
Alabama State University,Business,0.449936155890298,618
Alabama State University,Chemistry,0.453319813279295,95
Alabama State University,Education,0.373352292493744,301
Alabama State University,Engineering,0.521181032062841,428
Alabama State University,Finance,0.558379635737262,34
Alabama State University,Marketing,0.471622690861187,106
Alabama State University,Mathematics,0.450569156157593,77
Alaska Pacific University,Accounting,0.552134386914759,24
Alaska Pacific University,Biology,0.401055539941749,47
Alaska Pacific University,Business,0.505263459178169,163
Alaska Pacific University,Education,0.312768299081409,32
Albany State University,Accounting,0.524459064484462,158
Albany State University,Biology,0.460106764219093,74
Albany State University,Business,0.472113681444761,709
Albany State University,Chemistry,0.425975587414154,69
Albany State University,Education,0.34961013684955,239
Albany State University,Engineering,0.527933950843872,187
Albany State University,Marketing,0.478762675455605,158
Albany State University,Mathematics,0.484500493995793,60
Albany State University,Nursing,0.374317435012811,108
Albers School of Business & Economics,Business,0.453151573935975,56
Albertus Magnus College,Accounting,0.537416954596155,104
Albertus Magnus College,Biology,0.385294231306964,11
Albertus Magnus College,Business,0.511058401725828,1282
Albertus Magnus College,Education,0.35771836394945,12
Albertus Magnus College,Engineering,0.563233586656954,61
Albertus Magnus College,Finance,0.548670333559902,41
Albertus Magnus College,Mathematics,0.50264595587578,16
Albion College,Accounting,0.475848345999188,61
Albion College,Biology,0.438721397364839,146
Albion College,Business,0.496077447375383,654
Albion College,Chemistry,0.479123259881784,82
Albion College,Economics,0.481707326507531,139
Albion College,Education,0.357392308991634,94
Albion College,Engineering,0.643292016348696,37
Albion College,Finance,0.491050306473674,39
Albion College,Marketing,0.447660045081306,11
Albion College,Mathematics,0.493684854646454,47
Albion College,Physics,0.503858864267286,41
Albright College,Accounting,0.548483799832385,353
Albright College,Biology,0.461980897314269,50
Albright College,Business,0.484101156878156,1228
Albright College,Chemistry,0.392082727036146,50
Albright College,Economics,0.516617287139323,25
Albright College,Education,0.328996251751443,93
Albright College,Engineering,0.537170962363663,112
Albright College,Finance,0.527089529833561,77
Albright College,Information Technology,0.519158715387181,30
Albright College,Marketing,0.487355970074895,32
Albright College,Mathematics,0.420399421614989,29
Alcorn State University,Accounting,0.54780689686197,91
Alcorn State University,Biology,0.411247654091848,96
Alcorn State University,Business,0.461728071476608,370
Alcorn State University,Chemistry,0.483513501095388,52
Alcorn State University,Economics,0.474501602956537,49
Alcorn State University,Education,0.378981295587146,117
Alcorn State University,Engineering,0.520120119824059,217
Alcorn State University,Mathematics,0.387992755947925,18
Alcorn State University,Nursing,0.365908790536431,168
Alcorn State University,Physics,0.47905929223938,18
Alderson-Broaddus College,Accounting,0.540426737460684,20
Alderson-Broaddus College,Biology,0.359656844498511,19
Alderson-Broaddus College,Business,0.418234238896391,160
Alderson-Broaddus College,Chemistry,0.320635218757485,16
Alderson-Broaddus College,Education,0.359686579750301,40
Alderson-Broaddus College,Engineering,0.512081968218383,38
Alderson-Broaddus College,Marketing,0.468678209248006,13
Alderson-Broaddus College,Nursing,0.371533053890377,103
Alfred Lerner College of Business & Economics,Accounting,0.541254377979134,289
Alfred Lerner College of Business & Economics,Business,0.498925215482388,1107
Alfred Lerner College of Business & Economics,Economics,0.523013409566169,207
Alfred Lerner College of Business & Economics,Finance,0.525056758610492,508
Alfred Lerner College of Business & Economics,Marketing,0.499877404699487,366
Alfred University,Accounting,0.505076968691726,137
Alfred University,Biology,0.410891670531974,56
Alfred University,Business,0.45770215518386,340
Alfred University,Chemistry,0.422746398141292,63
Alfred University,Economics,0.479113914859676,12
Alfred University,Education,0.351835155463193,108
Alfred University,Engineering,0.469766586143959,761
Alfred University,Finance,0.463933632455829,46
Alfred University,Marketing,0.432797489943413,112
Alfred University,Mathematics,0.519402422541479,40
Alfred University,Physics,0.519340248285603,20
Alice Lloyd College,Accounting,0.51176679912242,12
Alice Lloyd College,Biology,0.379957520125024,15
Alice Lloyd College,Business,0.490748840156323,90
Alice Lloyd College,Education,0.350357492522023,25
Allan Hancock College,Business,0.454236636165897,21
Allegany College of Maryland,Business,0.460623021440896,11
Allegheny College,Biology,0.429155445106013,256
Allegheny College,Business,0.496028961048675,171
Allegheny College,Chemistry,0.47517627166469,120
Allegheny College,Economics,0.508800787358852,411
Allegheny College,Education,0.387857904080562,10
