university_name,field,exposure_alljobs_beta,n_people
A. James Clark School of Engineering,Engineering,0.525077638772975,862
A.B. Freeman School of Business,Accounting,0.551461492969552,25
A.B. Freeman School of Business,Business,0.501766337857746,1355
A.B. Freeman School of Business,Economics,0.499176274214327,10
A.B. Freeman School of Business,Finance,0.519672155730347,323
A.B. Freeman School of Business,Marketing,0.510818892960334,179
AIU Online LLC,Accounting,0.522087685364333,385
AIU Online LLC,Architecture,0.490566682035584,27
AIU Online LLC,Business,0.48580045211281,12878
AIU Online LLC,Engineering,0.566930201604326,1021
AIU Online LLC,Finance,0.538232829378368,348
AIU Online LLC,Information Technology,0.567212574061721,2725
AIU Online LLC,Law,0.392186674399283,61
AIU Online LLC,Marketing,0.472611348704974,706
ARGOSY UNIVERSITY SEATTLE,Business,0.441031834825769,15
ASA College,Business,0.432297561249526,70
ASA College,Engineering,0.582042624214717,10
ASU College of Nursing & Health Innovation,Nursing,0.358712776316053,367
ASU Watts College of Public Service & Community Solutions,Business,0.432955543053788,77
Abilene Christian University,Accounting,0.547647756745889,124
Abilene Christian University,Biology,0.417558071542866,68
Abilene Christian University,Business,0.498442042097058,1751
Abilene Christian University,Chemistry,0.475261905922654,32
Abilene Christian University,Education,0.37246087231707,254
Abilene Christian University,Engineering,0.570132338145287,224
Abilene Christian University,Finance,0.522122698954367,132
Abilene Christian University,Information Technology,0.6686250979647,58
Abilene Christian University,Marketing,0.50712414977251,214
Abilene Christian University,Mathematics,0.558808736952558,43
Abilene Christian University,Nursing,0.32757580358928,219
Abilene Christian University,Physics,0.568164895951574,46
Abraham Baldwin Agricultural College,Biology,0.401275526944217,12
Abraham Baldwin Agricultural College,Business,0.459607362564232,309
Abraham Baldwin Agricultural College,Education,0.407136731407579,16
Abraham Baldwin Agricultural College,Nursing,0.319648890397512,17
Academy College,Accounting,0.519178821043966,12
Academy College,Business,0.481645834511007,43
Academy College,Engineering,0.58794772441069,14
Academy of Art University,Architecture,0.472697818181184,728
Academy of Art University,Business,0.489227938626058,58
Academy of Art University,Education,0.437222250544243,37
Academy of Art University,Engineering,0.52641508676449,242
Academy of Art University,Marketing,0.47400890588892,119
Adams State University,Accounting,0.535293467240838,56
Adams State University,Biology,0.448594624643499,62
Adams State University,Business,0.457604114014681,717
Adams State University,Chemistry,0.414528710541419,28
Adams State University,Education,0.355461569611795,141
Adams State University,Engineering,0.636232523856552,32
Adams State University,Finance,0.521283882561127,29
Adams State University,Marketing,0.443177105686158,34
Adams State University,Mathematics,0.455339596500395,19
Adams State University,Nursing,0.342605899210525,48
Adelphi University,Accounting,0.540153011101441,136
Adelphi University,Biology,0.420302729517707,114
Adelphi University,Business,0.489069285049163,1530
Adelphi University,Chemistry,0.487141425643279,47
Adelphi University,Economics,0.552868784026891,70
Adelphi University,Education,0.375306878217963,247
Adelphi University,Engineering,0.604532502783594,244
Adelphi University,Finance,0.508208784049627,132
Adelphi University,Marketing,0.493064504685201,163
Adelphi University,Mathematics,0.476122979619208,155
Adelphi University,Nursing,0.353171347254145,1986
Adelphi University,Physics,0.523885723248087,134
Adirondack Community College,Business,0.370778664652977,31
Adrian College,Accounting,0.538559407882016,50
Adrian College,Biology,0.408019975303853,58
Adrian College,Business,0.472041378082581,874
Adrian College,Chemistry,0.423933671337403,45
Adrian College,Economics,0.495691765581193,15
Adrian College,Education,0.356508971776398,100
Adrian College,Law,0.426494488213201,13
Adrian College,Marketing,0.508783442134923,49
Adrian College,Mathematics,0.523571341802156,41
Adrian College,Physics,0.552390663490602,17
AdventHealth University,Business,0.431358391338098,12
AdventHealth University,Medicine,0.378279111339764,14
AdventHealth University,Nursing,0.388875147696638,539
Agnes Scott College,Biology,0.45525358340721,117
Agnes Scott College,Business,0.50814646879977,173
Agnes Scott College,Chemistry,0.469074578989274,39
Agnes Scott College,Economics,0.516496828722597,106
Agnes Scott College,Education,0.447809816255567,23
Agnes Scott College,Mathematics,0.53296622775627,54
Agnes Scott College,Physics,0.569912595259489,18
Aiken Technical College,Business,0.469066612142857,16
Aims Community College,Business,0.475307525710717,21
Al-Imam Muhammad Ibn Saud Islamic University,Business,0.553607141420868,34
Al-Imam Muhammad Ibn Saud Islamic University,Engineering,0.587792021823288,23
Al-Imam Muhammad Ibn Saud Islamic University,Law,0.513734683721265,19
Alabama Agricultural and Mechanical University,Accounting,0.535715439670775,156
Alabama Agricultural and Mechanical University,Biology,0.418368141858537,76
Alabama Agricultural and Mechanical University,Business,0.47055083661005,825
Alabama Agricultural and Mechanical University,Chemistry,0.483984327861083,88
Alabama Agricultural and Mechanical University,Economics,0.467199503961368,18
Alabama Agricultural and Mechanical University,Education,0.369341734215404,166
