country,n_profile_users,n_person_programs,n_universities,n_pairs_published,mean_exposure_alljobs_beta
Australia,9665200,583011,125,792,0.479031261977849
Austria,1524802,33107,49,163,0.523377373588845
Belgium,3354149,91262,88,396,0.514247608484085
Brazil,34435986,263488,668,2658,0.508084325763015
Canada,14934822,596136,236,1306,0.486224194506497
Chile,3938166,14570,56,239,0.465021084948236
Colombia,5865873,39400,127,403,0.517550096771599
Costa Rica,865043,27533,36,165,0.540006817159607
Czech Republic,1436478,22764,52,197,0.567231032186322
Denmark,2394343,65639,42,164,0.501645594006904
Egypt,4184520,354440,98,564,0.51044565732881
Estonia,229132,12974,18,85,0.530972260932504
Ethiopia,538785,42604,48,300,0.512084139485829
Finland,1256042,104519,57,334,0.499761813381869
France,19004149,131854,562,1252,0.524582899007728
Germany,11890942,366242,381,1371,0.530420080843162
Greece,1245555,66224,42,245,0.512274128167149
Hungary,863137,60198,43,220,0.547285991452896
Iceland,129579,6629,7,32,0.500820352759182
India,58467309,4861042,9068,20496,0.559640100922473
Indonesia,11493316,533714,601,2643,0.524565888842814
Iran,1925303,119772,202,732,0.523644976071451
Ireland,1972115,126792,46,302,0.486738615979715
Israel,1338567,130993,65,281,0.545650547160911
Italy,11113607,275318,119,756,0.508819952556198
Japan,2052074,31278,138,398,0.532474470304839
Kenya,2100852,174795,65,487,0.533345903510048
Latvia,248983,19586,26,102,0.538979838336486
Lithuania,388673,38470,27,132,0.53486734961299
Luxembourg,367513,1144,4,14,0.518807404117393
Mexico,10500668,173973,369,1292,0.517395163703356
Netherlands,7900554,349185,143,543,0.493374532387074
New Zealand,1689775,85459,43,211,0.485704755518898
Nigeria,4163135,300405,127,1017,0.516102517210425
Norway,1664039,50990,42,211,0.478806054703845
Poland,3710199,56545,149,453,0.582513942810906
Portugal,2735852,49290,110,380,0.502612710532781
Russia,2884383,44596,210,586,0.59842832424978
Saudi Arabia,4686795,158779,73,457,0.50380431116601
Singapore,2583598,99569,34,121,0.516372255470737
Slovakia,437215,10636,27,101,0.564241817190181
Slovenia,264630,9412,35,83,0.531036216715757
South Africa,6620044,343833,80,464,0.508775346839996
South Korea,1740303,47914,126,434,0.526104460411967
Spain,10696525,85144,142,636,0.503159587415877
Sweden,3550464,57492,54,280,0.503705226835929
Switzerland,3304581,68919,98,291,0.505423590495689
Turkey,7436432,159299,154,734,0.517357772595192
United Arab Emirates,5971234,52031,56,217,0.516022439306251
United Kingdom,25299057,963294,399,2075,0.49427929541299
United States,119930383,7535753,3219,18570,0.483687985459026
